millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
4544,-22.093168,3.578761,-41.528454,-164.57957,-28.325771,-20.564798,-2.0505137,-4.412861,11.231121,-173.02965,7.035622,-15.729346,100.41233,1.7729993,1.199091,-18.915262,1.2300516,-3.7943494,-3.4583077,-10.298817,8.033321
4556,-17.617744,7.276492,-45.257835,-164.24889,-30.124773,-18.472694,-1.7752879,-3.787035,11.115864,-172.31534,8.430723,-16.08417,100.40325,1.7919153,1.2105812,-18.914444,1.2576251,-3.7989404,-3.2091856,-10.854081,7.9933434
4569,-12.320742,10.03259,-50.41187,-163.98116,-31.33562,-16.647919,-1.9273329,-2.230964,11.223382,-171.53735,10.490279,-16.65356,100.38519,1.8109525,1.2219219,-18.919277,1.3435749,-3.7920666,-3.339545,-12.545026,7.966508
4581,-7.8262167,11.843891,-53.86495,-163.56984,-32.522907,-15.267161,-2.4769387,1.4959188,11.094462,-170.36273,12.414916,-18.807205,100.375404,1.8154153,1.2271585,-18.931717,1.3637693,-3.795598,-3.9643009,-14.67475,7.988261
4593,-6.345453,12.767735,-54.198242,-163.46979,-32.866287,-15.751508,-2.510767,2.3634765,10.394512,-169.7132,14.206073,-20.980743,100.36722,1.8290985,1.2431056,-18.936876,1.4198261,-3.797936,-4.3723793,-15.847201,8.021878
4605,-6.9924607,13.386243,-52.0823,-163.553,-32.77268,-16.360447,-3.4733026,3.355639,10.938082,-169.76796,13.83139,-20.985937,100.34845,1.8381611,1.2535602,-18.9391,1.4692823,-3.7993238,-4.37144,-16.158825,7.985809
4618,-8.212116,12.4808855,-51.899857,-163.63094,-32.260704,-16.55352,-3.8523936,2.4124444,11.190177,-170.42218,12.828596,-19.452314,100.348465,1.833684,1.2481921,-18.95291,1.4331723,-3.8005724,-4.142061,-15.055211,7.892413
4630,-10.355434,11.464334,-50.375515,-163.78996,-30.884338,-17.267271,-3.85931,1.5954212,11.069076,-171.03146,11.851291,-17.843538,100.339485,1.8382838,1.253412,-18.952652,1.4320115,-3.807467,-3.656886,-13.3899,8.005596
4642,-13.107223,9.875039,-48.76329,-163.93956,-29.264532,-17.95937,-3.9532447,-0.5409712,11.270294,-171.54204,10.870392,-16.69342,100.32981,1.8284217,1.2523911,-18.95999,1.4041984,-3.8029156,-3.4747245,-12.725864,7.9600286
4654,-15.905861,7.754715,-47.778664,-164.00243,-27.334465,-18.71328,-4.1185584,-1.547447,11.563618,-171.79445,10.395575,-16.427279,100.33062,1.8285562,1.2523783,-18.966665,1.3890094,-3.8075554,-3.5215645,-12.602365,7.9817715
