millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
3123,-38.902775,-2.203991,-3.5531445,130.29347,-1.1255088,-3.3097675,-17.275106,-0.6975682,1.0894006,-13.431376,9.283218,-0.2476544,-77.36839,-2.897176,46.592964,-82.582756,31.06765,-53.564667,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3142,-38.902775,-2.203991,-3.5531445,130.29333,-1.1289155,-3.3004825,-17.275192,-0.69861966,1.0824857,-13.424505,9.276376,-0.24629071,48.700172,-42.366478,-29.607628,-82.584305,31.927935,-55.646523,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94384,1.820706,-2.961077,164.1756,6.202022,3.2118797
3161,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,-16.888422,-38.538002,24.811504,-82.623116,32.3976,-57.15589,18.054821,6.45068,-2.9270296,129.04025,-3.7431588,1.3465827,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3223,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,6.034938,28.091686,-58.288307,-82.87191,-32.646496,54.85887,18.054594,6.4437804,-2.9281318,129.04025,-3.7431588,1.3465827,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3242,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,-61.07067,72.03376,-17.752966,-82.86553,-31.607204,52.674908,18.054594,6.4437804,-2.9281318,129.04063,-3.7368493,1.3435842,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3261,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,-45.42173,-68.56534,16.915247,-82.53775,31.264158,-53.943935,18.054594,6.4437804,-2.9281318,129.04025,-3.7431588,1.3465827,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3324,-38.891186,-2.203632,-3.5531847,130.29344,-1.1225717,-3.303427,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,-101.25173,-41.45362,5.9889035,-82.637955,32.25417,-56.479153,18.054792,6.4448433,-2.9350247,129.04079,-3.7338414,1.3498981,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3342,-38.891186,-2.203632,-3.5531847,130.29344,-1.1225717,-3.303427,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,38.459854,50.356625,-17.789164,-82.640305,32.21208,-56.389427,18.054792,6.4448433,-2.9350247,129.04079,-3.7338414,1.3498981,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3362,-38.890915,-2.2059522,-3.5597723,130.29344,-1.1225717,-3.303427,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,34.096386,34.407894,55.547497,-82.60306,32.043137,-55.91341,18.054792,6.4448433,-2.9350247,129.04079,-3.7338414,1.3498981,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3381,-38.890915,-2.2059522,-3.5597723,130.29344,-1.1225717,-3.303427,-17.275192,-0.69861966,1.0824857,-13.431327,9.276294,-0.24685079,-41.55201,67.36573,-22.609509,-82.555466,31.930464,-55.544243,18.054792,6.4448433,-2.9350247,129.04079,-3.7338414,1.3498981,-115.94394,1.8147774,-2.9647923,164.1756,6.202022,3.2118797
3445,-38.89072,-2.1993587,-3.562108,130.29333,-1.1289155,-3.3004825,-17.272089,-0.6985873,1.0824139,-13.431327,9.276294,-0.24685079,45.32616,63.335213,19.69999,-82.729355,27.207764,-46.52737,18.054989,6.4459047,-2.941918,129.04079,-3.7338414,1.3498981,-115.94231,1.8108822,-2.958776,164.1756,6.202022,3.2118797
3462,-38.890987,-2.197039,-3.55552,130.29333,-1.1289155,-3.3004825,-17.272089,-0.6985873,1.0824139,-13.431327,9.276294,-0.24685079,-53.335438,59.300663,10.249206,-82.7432,27.669271,-47.42885,18.054989,6.4459047,-2.941918,129.04079,-3.7338414,1.3498981,-115.94231,1.8108822,-2.958776,164.1756,6.202022,3.2118797
3481,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.272089,-0.6985873,1.0824139,-13.431327,9.276294,-0.24685079,-13.589198,23.864792,61.804733,-82.74378,28.29109,-48.687393,18.054989,6.4459047,-2.941918,129.04079,-3.7338414,1.3498981,-115.94231,1.8108822,-2.958776,164.1756,6.202022,3.2118797
3500,-38.891186,-2.203632,-3.5531847,130.29344,-1.1225717,-3.303427,-17.27203,-0.7055016,1.0834638,-13.431327,9.276294,-0.24685079,-95.21513,33.873516,-55.530205,-82.7466,26.704933,-45.5839,18.054989,6.4459047,-2.941918,129.04079,-3.7338414,1.3498981,-115.94231,1.8108822,-2.958776,164.16875,6.201239,3.204564
3563,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.27203,-0.7055016,1.0834638,-13.431327,9.276294,-0.24685079,60.207844,34.32265,-20.845427,-82.66329,30.469032,-53.05238,18.054792,6.4448433,-2.9350247,129.04039,-3.7401505,1.3528963,-115.951485,1.8204215,-2.9611735,164.1684,6.2021666,3.2114775
3582,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.27203,-0.7055016,1.0834638,-13.431327,9.276294,-0.24685079,-151.73868,20.55667,8.813353,-82.66121,27.015472,-46.135925,18.054792,6.4448433,-2.9350247,129.04039,-3.7401505,1.3528963,-115.951485,1.8204215,-2.9611735,164.1684,6.2021666,3.2114775
3602,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.27203,-0.7055016,1.0834638,-13.431327,9.276294,-0.24685079,19.731058,14.280539,-37.558094,-82.67075,25.34357,-43.042896,18.054792,6.4448433,-2.9350247,129.04039,-3.7401505,1.3528963,-115.951485,1.8204215,-2.9611735,164.1684,6.2021666,3.2114775
3621,-38.891186,-2.203632,-3.5531847,130.29333,-1.1289155,-3.3004825,-17.27203,-0.7055016,1.0834638,-13.431327,9.276294,-0.24685079,-21.638037,-19.91253,56.77397,-82.69482,23.258581,-39.24046,18.054792,6.4448433,-2.9350247,129.04039,-3.7401505,1.3528963,-115.951584,1.8144928,-2.964888,164.1684,6.2021666,3.2114775
3682,-38.891186,-2.203632,-3.5531847,130.28487,-1.1227257,-3.3032796,-17.27203,-0.7055016,1.0834638,-13.431857,9.277102,-0.23992574,15.994441,66.36348,22.261799,-82.73821,24.573084,-41.613922,18.054792,6.4448433,-2.9350247,129.04245,-3.737312,1.3593831,-115.951485,1.8204215,-2.9611735,164.1684,6.2021666,3.2114775
3701,-38.891186,-2.203632,-3.5531847,130.28474,-1.1290693,-3.3003352,-17.27203,-0.7055016,1.0834638,-13.431857,9.277102,-0.23992574,-11.392236,-70.38232,-17.957981,-82.668724,27.5107,-47.1114,18.054792,6.4448433,-2.9350247,129.04245,-3.737312,1.3593831,-115.951485,1.8204215,-2.9611735,164.16875,6.201239,3.204564
3721,-38.891186,-2.203632,-3.5531847,130.28474,-1.1290693,-3.3003352,-17.27203,-0.7055016,1.0834638,-13.431857,9.277102,-0.23992574,-18.71727,-40.95396,-47.779545,-82.68003,24.734451,-41.88565,18.054792,6.4448433,-2.9350247,129.04245,-3.737312,1.3593831,-115.951485,1.8204215,-2.9611735,164.1684,6.2021666,3.2114775
3782,-38.891186,-2.203632,-3.5531847,130.28474,-1.1290693,-3.3003352,-17.27505,-0.70448285,1.0904505,-13.431857,9.277102,-0.23992574,-28.476353,1.9417225,-87.559,-82.644875,30.240461,-52.6334,18.054989,6.4459047,-2.941918,129.04245,-3.737312,1.3593831,-115.951485,1.8204215,-2.9611735,164.16121,6.202311,3.2110755
3802,-38.891186,-2.203632,-3.5531847,130.28473,-1.1261318,-3.293995,-17.27505,-0.70448285,1.0904505,-13.431857,9.277102,-0.23992574,58.321945,15.675328,28.118357,-82.70988,24.795137,-42.039543,18.054989,6.4459047,-2.941918,129.03378,-3.7371392,1.3595537,-115.951584,1.8144928,-2.964888,164.16121,6.202311,3.2110755
3822,-38.891186,-2.203632,-3.5531847,130.28474,-1.1290693,-3.3003352,-17.27505,-0.70448285,1.0904505,-13.431857,9.277102,-0.23992574,-46.27037,6.6204295,-55.293457,-82.76568,22.6993,-38.242912,18.054989,6.4459047,-2.941918,129.04245,-3.737312,1.3593831,-115.951485,1.8204215,-2.9611735,164.16121,6.202311,3.2110755
3841,-38.891186,-2.203632,-3.5531847,130.28473,-1.1261318,-3.293995,-17.27505,-0.70448285,1.0904505,-13.431857,9.277102,-0.23992574,58.365303,64.12893,21.180395,-82.7555,17.586906,-29.434717,18.054989,6.4459047,-2.941918,129.04245,-3.737312,1.3593831,-115.951485,1.8204215,-2.9611735,164.16875,6.201239,3.204564
3904,-38.891186,-2.203632,-3.5531847,130.28473,-1.1261318,-3.293995,-17.27505,-0.70448285,1.0904505,-13.431376,9.283218,-0.2476544,93.463394,31.7785,55.246674,-82.70289,-0.9270847,-0.26866508,18.054989,6.4459047,-2.941918,129.04245,-3.737312,1.3593831,-115.951584,1.8144928,-2.964888,164.16154,6.201382,3.2041621
3923,-38.891457,-2.201312,-3.5465968,130.28473,-1.1261318,-3.293995,-17.27505,-0.70448285,1.0904505,-13.431909,9.284027,-0.24072942,48.689865,50.020992,38.83296,-82.72934,6.556644,-11.769743,18.054989,6.4459047,-2.941918,129.03378,-3.7371392,1.3595537,-115.951485,1.8204215,-2.9611735,164.16154,6.201382,3.2041621
3941,-38.891457,-2.201312,-3.5465968,130.28473,-1.1261318,-3.293995,-17.27505,-0.70448285,1.0904505,-13.431909,9.284027,-0.24072942,51.58344,-9.612539,-55.396492,-82.74126,3.0586636,-6.3760715,18.054989,6.4459047,-2.941918,129.04245,-3.737312,1.3593831,-115.951485,1.8204215,-2.9611735,164.16154,6.201382,3.2041621
3961,-38.891457,-2.201312,-3.5465968,130.28473,-1.1261318,-3.293995,-17.27505,-0.70448285,1.0904505,-13.431857,9.277102,-0.23992574,-64.56298,49.919407,-36.194225,-82.7276,14.370679,-24.137287,18.054989,6.4459047,-2.941918,129.03378,-3.7371392,1.3595537,-115.951485,1.8204215,-2.9611735,164.16154,6.201382,3.2041621
4022,-38.891457,-2.201312,-3.5465968,130.28484,-1.1197882,-3.2969396,-17.27505,-0.70448285,1.0904505,-13.4381485,9.276213,-0.24741086,30.103495,25.773039,51.30166,-82.74125,-14.292172,20.584581,18.054989,6.4459047,-2.941918,129.03378,-3.7371392,1.3595537,-115.960846,1.8143978,-2.965078,164.16154,6.201382,3.2041621
4041,-38.891457,-2.201312,-3.5465968,130.28484,-1.1197882,-3.2969396,-17.275137,-0.70553434,1.0835357,-13.4381485,9.276213,-0.24741086,38.035957,51.689747,23.112337,-82.8006,-21.627464,32.74181,18.054989,6.4459047,-2.941918,129.03339,-3.7434487,1.3625528,-115.960846,1.8143978,-2.965078,164.16112,6.2083025,3.2031922
4062,-38.89126,-2.1947186,-3.5489326,130.28484,-1.1197882,-3.2969396,-17.275137,-0.70553434,1.0835357,-13.431327,9.276294,-0.24685079,-30.871454,-21.096548,6.885883,-82.88558,-29.272676,46.90197,18.054758,6.4390054,-2.9430203,129.03339,-3.7434487,1.3625528,-115.960846,1.8143978,-2.965078,164.16154,6.201382,3.2041621
4123,-38.891186,-2.203632,-3.5531847,130.28484,-1.1197882,-3.2969396,-17.275137,-0.70553434,1.0835357,-13.431327,9.276294,-0.24685079,49.180733,-51.858044,15.254171,-82.86641,-32.558033,54.072403,18.054989,6.4459047,-2.941918,129.03363,-3.7401483,1.3532399,-115.96076,1.8203269,-2.9613636,164.16154,6.201382,3.2041621
4141,-38.896317,-2.203792,-3.5529854,130.28484,-1.1197882,-3.2969396,-17.275137,-0.70553434,1.0835357,-13.4381485,9.276213,-0.24741086,-45.565308,55.82022,11.453897,-82.90429,-33.412308,56.255726,18.054989,6.4459047,-2.941918,129.03363,-3.7401483,1.3532399,-115.95914,1.820137,-2.9612691,164.16154,6.201382,3.2041621
4162,-38.891186,-2.203632,-3.5531847,130.28484,-1.1197882,-3.2969396,-17.275137,-0.70553434,1.0835357,-13.431327,9.276294,-0.24685079,34.814335,34.76801,-44.360626,-82.899216,-33.47804,56.50651,18.054989,6.4459047,-2.941918,129.03363,-3.7401483,1.3532399,-115.95914,1.820137,-2.9612691,164.16154,6.201382,3.2041621
4180,-38.891186,-2.203632,-3.5531847,130.28484,-1.1197882,-3.2969396,-17.275137,-0.70553434,1.0835357,-13.4381485,9.276213,-0.24741086,27.059286,64.841034,-19.673063,-82.888306,-33.235928,56.0981,18.054989,6.4459047,-2.941918,129.03363,-3.7401483,1.3532399,-115.95914,1.820137,-2.9612691,164.16154,6.201382,3.2041621
