millis,A0,A1,A2,B0,B1,B2
4078,-164.18605,3.3696272,5.842021,38.25009,13.983148,8.513933
4087,-164.18605,3.3696272,5.842021,42.87461,13.04826,6.3199296
4100,-164.18588,3.362717,5.8410687,46.14466,13.200754,4.1342936
4108,-164.19316,3.3551953,5.846879,47.739525,14.25093,2.1100187
4118,-164.19316,3.3551953,5.846879,47.621956,16.221136,0.3665185
4128,-164.20044,3.3476748,5.8526907,46.097805,19.188944,-0.94442505
4138,-164.21498,3.332635,5.8643165,43.553444,22.917837,-1.4857805
4148,-164.22227,3.325116,5.870131,40.22697,26.857475,-1.0413845
4158,-164.22954,3.3175976,5.8759465,36.115906,30.252619,0.3357398
4171,-164.2296,3.309696,5.881914,31.044804,32.448154,2.6069705
4178,-164.2368,3.3100798,5.881763,25.34979,33.566753,5.663776
4188,-164.22977,3.316607,5.8828635,19.730087,34.264557,9.045835
4199,-164.2223,3.317214,5.8760986,15.070028,34.661133,12.560291
4211,-164.22227,3.325116,5.870131,11.900136,34.435577,15.888062
4221,-164.20772,3.3401546,5.8585033,10.438101,33.32131,18.544933
4228,-164.19269,3.3571806,5.833046,10.860905,31.510036,20.076359
4238,-164.16449,3.3874276,5.81019,13.121258,29.352577,20.233652
4249,-164.14969,3.4034739,5.7916613,16.648508,26.932558,19.006235
4258,-164.15614,3.4068384,5.770754,20.651525,24.23173,16.670795
4271,-164.14812,3.394629,5.7551713,24.595293,21.7575,13.471633
4278,-164.1404,3.3962429,5.741495,28.314342,20.115961,9.680876
4289,-164.19292,3.2755299,5.715441,31.509567,19.553637,5.588953
4303,-164.2254,3.1735668,5.700066,33.881065,19.890985,1.4420835
4309,-164.27296,3.2183301,5.6477017,35.199203,20.766644,-2.5765
4319,-164.25725,3.2383215,5.601469,35.327923,21.848856,-6.303499
4331,-164.25604,3.2205422,5.5778704,34.57232,23.328766,-9.55997
4338,-164.27866,3.2097988,5.6110697,33.244007,25.440722,-12.118698
4348,-164.29341,3.193753,5.629637,31.526918,27.866951,-13.650222
4359,-164.30812,3.1856084,5.6422353,29.473684,30.021751,-13.840742
4371,-164.29417,3.1829033,5.6563644,27.114023,31.506184,-12.52446
4378,-164.30916,3.1658819,5.6818557,24.5338,32.29279,-9.794342
4388,-164.3099,3.1550355,5.708584,22.080206,32.64214,-5.760591
4398,-164.31763,3.1455462,5.728251,20.050175,32.704357,-0.81459844
4408,-164.33266,3.151241,5.742746,18.668848,32.21675,4.618324
4418,-164.33302,3.1650674,5.744633,18.158123,30.869064,10.241429
4428,-164.33344,3.1709983,5.752496,18.711939,28.653118,15.733632
4438,-164.32619,3.1785195,5.746666,20.39949,25.837719,20.744322
4452,-164.32637,3.1854322,5.7476096,23.033787,22.692709,24.820976
4459,-164.3191,3.1929533,5.7417817,26.233261,19.450832,27.557802
4468,-164.30435,3.2089822,5.7232103,29.558887,16.48482,28.576172
4478,-164.29057,3.2172625,5.710986,32.586445,14.223527,27.738043
4488,-164.27583,3.2332997,5.692421,35.027294,13.091408,25.286243
4499,-164.26146,3.255267,5.681725,36.76606,13.420395,21.665455
4508,-164.24684,3.2782233,5.664118,37.6481,15.094727,17.19024
4518,-164.2395,3.2936535,5.652332,37.403477,17.599154,12.189956
4528,-164.23856,3.2976062,5.6246614,36.06831,20.478672,6.934223
4538,-164.25159,3.2736535,5.5998077,33.82883,23.405857,1.6530485
4548,-164.25189,3.287479,5.6017046,30.815676,26.104807,-3.3325243
4558,-164.25877,3.2740202,5.5996566,27.2983,28.301079,-7.63956
4568,-164.25903,3.2730336,5.606575,23.610529,29.955841,-11.079672
4579,-164.27248,3.2509086,5.6169004,20.071812,31.243153,-13.387758
4588,-164.27997,3.242393,5.6296396,16.956364,32.28794,-14.380313
4599,-164.2877,3.2328935,5.6492987,14.443919,33.013275,-14.075433
4609,-164.30287,3.2227829,5.675728,12.734841,33.292145,-12.451174
