millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
10407,-131.89774,-23.153309,-17.82542,-80.354225,-71.43332,-16.710266,-90.688515,48.64133,-3.3156545,-88.43464,-8.558429,0.6335661
10418,-131.94434,-23.150885,-17.821638,-80.35059,-71.448204,-16.697672,-90.68846,48.63908,-3.3176153,-88.424614,-8.553477,0.6279709
10427,-131.98622,-23.153704,-17.818592,-80.34657,-71.458496,-16.687513,-90.70139,48.636265,-3.3244045,-88.424614,-8.553477,0.6279709
10438,-132.03276,-23.151274,-17.814812,-80.34292,-71.47338,-16.674932,-90.701355,48.629642,-3.3220322,-88.41462,-8.553521,0.6272325
10447,-132.08603,-23.156483,-17.81231,-80.33989,-71.488884,-16.659756,-90.7051,48.625015,-3.3267002,-88.40476,-8.553175,0.6268418
10458,-132.12788,-23.159294,-17.809258,-80.33685,-71.504395,-16.644579,-90.705086,48.61839,-3.3243258,-88.40462,-8.553566,0.62649417
10468,-132.17442,-23.156857,-17.80548,-80.33216,-71.51408,-16.637035,-90.70883,48.61376,-3.3289921,-88.39461,-8.55361,0.6257558
10477,-132.229,-23.158966,-17.809341,-80.34061,-71.52876,-16.620268,-90.70879,48.60714,-3.3266158,-88.384605,-8.553655,0.6250174
10488,-132.27083,-23.161774,-17.806288,-80.337524,-71.544266,-16.605103,-90.71255,48.6025,-3.3312826,-88.38459,-8.5486555,0.62016255
10500,-132.32664,-23.160969,-17.801533,-80.33344,-71.55457,-16.594965,-90.71249,48.600258,-3.3332415,-88.37459,-8.548697,0.6194247
10508,-132.37187,-23.161444,-17.80637,-80.341805,-71.569275,-16.578197,-90.72545,48.593067,-3.335699,-88.37459,-8.548697,0.6194247
10517,-132.41574,-23.165007,-17.804829,-80.34414,-71.58414,-16.564278,-90.7254,48.586445,-3.333321,-88.364044,-8.548214,0.609173
10531,-132.46945,-23.163431,-17.798561,-80.34101,-71.599655,-16.549126,-90.729095,48.579563,-3.3399448,-88.3639,-8.548603,0.60882473
10537,-132.5133,-23.166998,-17.797014,-80.34189,-71.60461,-16.541164,-90.729095,48.579563,-3.3399448,-88.35404,-8.548257,0.6084352
10548,-132.56781,-23.169111,-17.800869,-80.337746,-71.61492,-16.531033,-90.729126,48.57519,-3.3356092,-88.35389,-8.543646,0.60323316
10557,-132.60957,-23.17191,-17.797806,-80.34599,-71.62963,-16.514267,-90.73281,48.56831,-3.3422332,-88.34387,-8.543687,0.6024957
10568,-132.66148,-23.180048,-17.803873,-80.34824,-71.64451,-16.500357,-90.73283,48.563942,-3.3378973,-88.34387,-8.543687,0.6024957
10582,-132.71204,-23.191263,-17.803549,-80.337654,-71.650276,-16.494017,-90.73278,48.561695,-3.3398528,-88.33453,-8.543869,0.6116202
10588,-132.75722,-23.19176,-17.80837,-80.34485,-71.65979,-16.482264,-90.73649,48.55044,-3.342139,-88.32467,-8.543522,0.61123073
10598,-132.80049,-23.20211,-17.810532,-80.35202,-71.66931,-16.47051,-90.73649,48.55044,-3.342139,-88.3245,-8.538911,0.60603017
10607,-132.8443,-23.205677,-17.808964,-80.355835,-71.690025,-16.44898,-90.74938,48.540997,-3.3465471,-88.314644,-8.538563,0.60564137
10618,-132.88466,-23.211536,-17.799494,-80.351616,-71.700356,-16.438862,-90.74938,48.540997,-3.3465471,-88.3145,-8.538952,0.6052931
10628,-132.92844,-23.2151,-17.797918,-80.34675,-71.71006,-16.431364,-90.753075,48.534115,-3.3531687,-88.30463,-8.538604,0.6049043
10637,-132.9748,-23.212637,-17.794142,-80.34251,-71.72038,-16.421246,-90.7531,48.529743,-3.3488297,-88.304474,-8.533991,0.5997045
10648,-133.0177,-23.212456,-17.782465,-80.350204,-71.73055,-16.406876,-90.75304,48.527496,-3.350784,-88.29461,-8.533643,0.5993161
10665,-133.07076,-23.217644,-17.7799,-80.34594,-71.74088,-16.39676,-90.76598,48.520294,-3.3532357,-88.29446,-8.534033,0.5989678
10668,-133.11452,-23.221195,-17.778322,-80.34167,-71.75121,-16.386652,-90.76593,48.518047,-3.355189,-88.28444,-8.534072,0.59823114
10684,-133.15825,-23.22475,-17.776737,-80.34706,-71.75493,-16.382526,-90.76968,48.51341,-3.3598552,-88.28444,-8.534072,0.59823114
10687,-133.20317,-23.225319,-17.766571,-80.34276,-71.76526,-16.372417,-90.769646,48.506794,-3.3574688,-88.275085,-8.529255,0.60250604
10698,-133.25156,-23.235754,-17.764673,-80.33847,-71.7756,-16.362312,-90.769646,48.506794,-3.3574688,-88.26507,-8.529295,0.6017698
10708,-133.29527,-23.239302,-17.763084,-80.34055,-71.7905,-16.348434,-90.773346,48.495537,-3.3597496,-88.26507,-8.529295,0.6017698
10721,-133.3376,-23.245893,-17.755098,-80.33526,-71.79563,-16.34334,-90.77702,48.488647,-3.36637,-88.25506,-8.529338,0.6010335
10728,-133.38132,-23.24944,-17.753504,-80.33093,-71.80597,-16.333242,-90.77702,48.488647,-3.36637,-88.24585,-8.524133,0.605658
10737,-133.42361,-23.25602,-17.745512,-80.32659,-71.81631,-16.323147,-90.78991,48.479202,-3.370769,-88.24569,-8.524522,0.60531014
10748,-133.4766,-23.261189,-17.742914,-80.3094,-71.82159,-16.322346,-90.78991,48.479202,-3.370769,-88.23581,-8.519169,0.60007364
10757,-133.52141,-23.261726,-17.732735,-80.31147,-71.83649,-16.308487,-90.78985,48.476955,-3.3727198,-88.23566,-8.519558,0.5997258
10771,-133.57092,-23.269136,-17.722227,-80.30649,-71.84619,-16.301031,-90.79362,48.46795,-3.3730466,-88.2258,-8.51921,0.5993382
10778,-133.6171,-23.266628,-17.71845,-80.302124,-71.85653,-16.29095,-90.793564,48.4657,-3.3749952,-88.22563,-8.514592,0.5941421
10787,-133.66658,-23.274025,-17.70794,-80.28495,-71.86179,-16.290173,-90.79729,48.461056,-3.3796613,-88.21561,-8.514632,0.59340703
10798,-133.71948,-23.279179,-17.705326,-80.28059,-71.87213,-16.280098,-90.80645,48.45625,-3.3793933,-88.21561,-8.514632,0.59340703
10807,-133.76059,-23.288746,-17.705877,-80.28262,-71.88703,-16.266254,-90.81018,48.451603,-3.38406,-88.20558,-8.514671,0.59267193
10818,-133.80168,-23.298319,-17.706417,-80.26644,-71.897484,-16.2605,-90.81015,48.44499,-3.3816686,-88.20558,-8.514671,0.59267193
10832,-133.8414,-23.310907,-17.70055,-80.261086,-71.90262,-16.255428,-90.81388,48.44035,-3.3863351,-88.19556,-8.514711,0.5919369
10839,-133.8836,-23.31745,-17.692518,-80.2631,-71.91752,-16.241598,-90.81382,48.438103,-3.3882828,-88.19556,-8.514711,0.5919369
10847,-133.92787,-23.324778,-17.685982,-80.25709,-71.922,-16.239172,-90.81385,48.433735,-3.383942,-88.185524,-8.509744,0.5863554
10857,-133.96942,-23.327503,-17.68285,-80.25269,-71.93234,-16.229113,-90.81753,48.426846,-3.3905559,-88.184875,-8.514598,0.58133996
10881,-134.01411,-23.327982,-17.672657,-80.23651,-71.94278,-16.223389,-90.81753,48.426846,-3.3905559,-88.17485,-8.514636,0.580605
10883,-134.05879,-23.328455,-17.662464,-80.23114,-71.9479,-16.218328,-90.82674,48.42428,-3.3883371,-88.17485,-8.514636,0.580605
10887,-134.10097,-23.33497,-17.654417,-80.226715,-71.958244,-16.208282,-90.826675,48.42203,-3.390283,-88.16481,-8.514675,0.5798699
10897,-134.13388,-23.339859,-17.64738,-80.22167,-71.96793,-16.200882,-90.83041,48.41739,-3.3949478,-88.154785,-8.514714,0.5791349
10907,-134.17601,-23.34637,-17.639328,-80.21724,-71.97828,-16.19084,-90.830376,48.410778,-3.3925529,-88.15481,-8.519723,0.58398014
10917,-134.21031,-23.34825,-17.638697,-80.21217,-71.98796,-16.183453,-90.83411,48.40613,-3.3972194,-88.144775,-8.519762,0.5832447
10927,-134.25201,-23.361607,-17.634274,-80.21413,-72.00286,-16.169655,-90.83404,48.403885,-3.3991647,-88.14543,-8.51491,0.5882617
10958,-134.36128,-23.374855,-17.618515,-80.20012,-72.03323,-16.14222,-90.84693,48.39443,-3.4035573,-88.12535,-8.509976,0.5819477
10967,-134.40587,-23.375278,-17.608313,-80.19565,-72.04359,-16.132196,-90.84689,48.387814,-3.4011576,-88.115326,-8.510015,0.58121294
10997,-134.55673,-23.372164,-17.585518,-80.19624,-72.06275,-16.110115,-90.85058,48.376553,-3.4034255,-88.10529,-8.510055,0.5804784
11008,-134.61191,-23.371195,-17.58071,-80.18535,-72.06855,-16.103859,-90.85977,48.378345,-3.4055452,-88.09527,-8.510092,0.5797437
11017,-134.66501,-23.36942,-17.57442,-80.180824,-72.0789,-16.093845,-90.863464,48.367096,-3.4078112,-88.09511,-8.510478,0.57939494
11047,-134.8195,-23.38684,-17.558447,-80.17853,-72.1138,-16.059778,-90.867165,48.355835,-3.4100757,-88.07456,-8.52003,0.5780963
11058,-134.86539,-23.384241,-17.554665,-80.17397,-72.12416,-16.049774,-90.867165,48.355835,-3.4100757,-88.074394,-8.520416,0.5777469
11067,-134.91594,-23.388508,-17.550484,-80.17334,-72.12858,-16.044464,-90.867096,48.353592,-3.412019,-88.064514,-8.515055,0.5725195
11080,-134.96179,-23.385902,-17.546701,-80.16876,-72.13894,-16.034464,-90.876274,48.35539,-3.4141397,-88.06434,-8.515441,0.5721701
11088,-135.01337,-23.38705,-17.533993,-80.16354,-72.14862,-16.027128,-90.879974,48.344124,-3.4164023,-88.05448,-8.515092,0.57178444
11100,-135.07083,-23.379967,-17.527088,-80.15895,-72.15899,-16.017138,-90.879974,48.344124,-3.4164023,-88.05431,-8.515478,0.5714349
11108,-135.12378,-23.378138,-17.520807,-80.15826,-72.163414,-16.01183,-90.879974,48.344124,-3.4164023,-88.04445,-8.515129,0.5710494
11117,-135.16609,-23.377651,-17.509129,-80.15461,-72.179,-15.99687,-90.87994,48.337517,-3.4139986,-88.04427,-8.515515,0.57069975
11128,-135.22107,-23.376627,-17.504333,-80.14935,-72.18868,-15.989552,-90.88366,48.33287,-3.4186647,-88.03441,-8.515165,0.5703142
11137,-135.26683,-23.373995,-17.500565,-80.14923,-72.1938,-15.981575,-90.88359,48.33062,-3.4206042,-88.0349,-8.510706,0.5749866
11148,-135.31013,-23.377438,-17.498888,-80.15033,-72.20803,-15.970516,-90.89278,48.332413,-3.4227254,-88.025024,-8.510357,0.5746011
11197,-135.53143,-23.38248,-17.486317,-80.13815,-72.26372,-15.916611,-90.90016,48.309902,-3.4272444,-88.00475,-8.500783,0.5631048
11295,-135.99442,-23.386337,-17.49184,-77.66032,-72.007645,-16.657179,-90.927536,48.30417,-3.4350762,-87.945335,-8.50079,0.56891274
11385,-136.39476,-23.371454,-17.50103,-79.61325,-66.39253,-21.868956,-90.94946,48.292,-3.4454482,-87.89439,-8.551376,0.6033688
11395,-136.44849,-23.373598,-17.504732,-81.98848,-64.331474,-22.988834,-90.94939,48.28975,-3.4473855,-87.88434,-8.556436,0.6074633
11405,-136.49304,-23.37414,-17.509472,-84.7713,-62.568703,-23.6256,-90.94939,48.28975,-3.4473855,-87.88416,-8.561845,0.6119457
11416,-136.53616,-23.377575,-17.507765,-87.81433,-61.39655,-23.668688,-90.94564,48.294407,-3.4427207,-87.87412,-8.561884,0.6112065
11427,-136.58304,-23.372015,-17.510477,-90.60209,-60.301582,-23.666182,-90.954834,48.29619,-3.4448435,-87.86474,-8.562106,0.6203283
11436,-136.63673,-23.374165,-17.514172,-93.024185,-59.10364,-23.773354,-90.95853,48.28493,-3.4470947,-87.864716,-8.557083,0.61549646
11445,-136.68127,-23.374722,-17.51891,-94.84088,-58.011196,-23.961943,-90.95853,48.28493,-3.4470947,-87.85532,-8.552283,0.6197874
11456,-136.73495,-23.376875,-17.522602,-96.16251,-57.23355,-24.10685,-90.95844,48.28268,-3.449032,-87.84611,-8.542074,0.61959755
11465,-136.77571,-23.386427,-17.522903,-97.25526,-56.650276,-24.204414,-90.95847,48.278324,-3.444681,-87.84654,-8.532601,0.61944747
