millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
2732,-172.84251,6.2061677,-80.47667,-170.30606,11.671978,-77.299995,-48.99869,-2.6553664,34.44073,124.68333,2.3906806,27.086145,116.81581,-14.447896,4.0253887,55.686646,-39.059517,12.20371
2744,-172.80353,5.087962,-82.116295,-169.52875,11.423198,-77.71091,-49.061928,-2.7486012,34.382313,124.74119,2.3655262,27.094172,116.81101,-14.468496,4.0461307,55.679672,-38.996326,12.200724
2754,-172.93808,4.1462603,-83.47681,-168.93156,11.285421,-77.93342,-49.035187,-2.6892197,34.40528,124.79099,2.3688505,27.093578,116.777985,-14.503753,4.071189,55.655888,-38.879814,12.191167
2763,-173.05519,3.409685,-84.44713,-168.4718,11.146685,-78.108734,-49.023888,-2.6173487,34.414845,124.84399,2.3942475,27.090076,116.74145,-14.550795,4.1033216,55.648727,-38.767406,12.164101
2775,-173.08887,2.8692696,-85.10536,-168.19122,10.939974,-78.30114,-49.043167,-2.5530448,34.425827,124.89513,2.4246988,27.081863,116.69463,-14.602271,4.155775,55.65472,-38.678867,12.146609
2786,-173.05106,2.4435205,-85.53641,-167.99698,10.739418,-78.45277,-49.006985,-2.4317236,34.463318,124.94708,2.4349139,27.07926,116.633675,-14.682262,4.202269,55.67528,-38.678932,12.133202
2798,-172.95213,2.0321555,-85.87306,-167.86356,10.512131,-78.594666,-49.010708,-2.3661554,34.47085,124.99828,2.4272184,27.086807,116.584564,-14.751887,4.22497,55.715508,-38.75603,12.1420555
2806,-172.84877,1.5752476,-86.250885,-167.68394,10.293815,-78.70897,-49.002502,-2.3441079,34.474766,125.05609,2.4107409,27.082136,116.58024,-14.77097,4.220108,55.740997,-38.826797,12.162699
2817,-172.92812,1.0502613,-86.77706,-167.47018,10.070042,-78.817085,-49.014458,-2.390107,34.46771,125.10634,2.3878446,27.090502,116.63344,-14.728406,4.179963,55.756454,-38.829983,12.173908
2829,-172.95691,0.49797034,-87.205124,-167.24197,9.784919,-78.97276,-49.02172,-2.4450805,34.447506,125.164505,2.3746114,27.091702,116.69661,-14.638862,4.135895,55.752926,-38.76669,12.16858
2838,-172.60269,2.151473E-4,-87.381615,-167.027,9.464418,-79.14262,-49.018238,-2.4689825,34.43426,125.215614,2.3668983,27.099201,116.752075,-14.542691,4.0889935,55.73869,-38.673244,12.1545725
2848,-172.06615,-0.38044408,-87.4843,-166.82204,9.193785,-79.29198,-49.021996,-2.492936,34.4311,125.26606,2.3499634,27.104149,116.789795,-14.484727,4.074773,55.746582,-38.582397,12.131524
2860,-171.43839,-0.63994145,-87.53264,-166.6421,8.983446,-79.41853,-49.036236,-2.5001075,34.437374,125.31491,2.3440733,27.101011,116.78801,-14.49715,4.0824943,55.752556,-38.542213,12.121646
2870,-170.69824,-0.78674304,-87.51527,-166.52701,8.816834,-79.520515,-49.02052,-2.4301522,34.447605,125.36555,2.333114,27.10258,116.73505,-14.579415,4.0960064,55.775303,-38.555397,12.118282
2881,-170.1409,-0.87916744,-87.49902,-166.5105,8.671313,-79.62428,-49.000816,-2.3779156,34.46666,125.40429,2.239743,27.121141,116.70389,-14.651229,4.1012216,55.805958,-38.609383,12.13168
2893,-169.77312,-0.9484015,-87.49206,-166.5598,8.542923,-79.727806,-49.01324,-2.3751788,34.467808,125.39232,2.0689893,27.13767,116.71989,-14.659249,4.0873365,55.833485,-38.658607,12.137438
2904,-169.39629,-0.9899519,-87.55425,-166.61896,8.419727,-79.83345,-49.000816,-2.3779156,34.46666,125.44552,2.0976088,27.140127,116.758644,-14.602664,4.05762,55.854317,-38.67404,12.139718
2913,-168.94609,-1.0313942,-87.63803,-166.65608,8.294464,-79.95215,-49.012188,-2.428938,34.454376,125.46735,2.0138652,27.15463,116.810936,-14.514599,4.023791,55.860058,-38.65323,12.13902
2923,-168.28906,-1.065749,-87.68451,-166.65768,8.181835,-80.04853,-49.02415,-2.474938,34.447292,125.487404,1.9439275,27.151758,116.86082,-14.449106,3.995943,55.872524,-38.617744,12.134372
