A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3,I0,I1,I2,I3,J0,J1,J2,J3,K0,K1,K2,K3
-0.902771,0.29315186,-0.15515137,0.27386475,0.8336792,-0.4515381,0.31530762,-0.039794922,0.9346924,0.107055664,-0.33795166,0.024536133,0.8424072,-0.17626953,-0.45239258,0.23358154,0.2810669,0.5648804,0.28503418,0.7214966,-0.592041,0.25042725,0.2097168,0.7367554,-0.49041748,0.0060424805,0.8529663,0.17852783,-0.48461914,-0.5402832,0.29071045,-0.62353516,0.64276123,0.4437256,-0.62316895,-0.040283203,0.7640991,-0.27459717,-0.38555908,-0.4383545,0.2666626,0.3762207,-0.5345459,0.7081909
-0.9030762,0.29370117,-0.15527344,0.27215576,0.8338623,-0.45281982,0.31341553,-0.036071777,0.9346924,0.10827637,-0.33758545,0.02508545,0.84259033,-0.17529297,-0.45178223,0.23480225,0.28015137,0.56451416,0.28686523,0.72143555,-0.5889282,0.2503662,0.20855713,0.739563,-0.4911499,0.0017700195,0.8531494,0.17565918,-0.48242188,-0.54156494,0.2883911,-0.6251831,0.64227295,0.44403076,-0.6234131,-0.041259766,0.7642822,-0.27337646,-0.3861084,-0.43823242,0.26556396,0.37652588,-0.5338745,0.70892334
-0.9032593,0.29388428,-0.1550293,0.2715454,0.83380127,-0.4534912,0.3128662,-0.034851074,0.9347534,0.10852051,-0.33740234,0.025268555,0.84265137,-0.17523193,-0.4515381,0.23522949,0.2800293,0.56433105,0.28735352,0.72143555,-0.5878296,0.2503662,0.20794678,0.7406006,-0.49139404,3.6621094E-4,0.8531494,0.1751709,-0.48199463,-0.5418091,0.28759766,-0.6256714,0.642334,0.4439087,-0.62335205,-0.042053223,0.7644043,-0.27313232,-0.38586426,-0.43841553,0.26538086,0.37634277,-0.5340576,0.7089844
-0.9032593,0.29418945,-0.15509033,0.27124023,0.8336792,-0.45410156,0.3125,-0.033996582,0.9348755,0.10845947,-0.33709717,0.02508545,0.8427124,-0.17541504,-0.4512329,0.2354126,0.2802124,0.5640259,0.2876587,0.72143555,-0.5866089,0.25030518,0.20703125,0.7418823,-0.49163818,-9.765625E-4,0.8529663,0.17504883,-0.48187256,-0.54174805,0.2869873,-0.62615967,0.6425171,0.44348145,-0.6234131,-0.043029785,0.76452637,-0.2730713,-0.3852539,-0.43878174,0.26519775,0.3760376,-0.5343628,0.7089844
-0.90252686,0.29522705,-0.15631104,0.27191162,0.83343506,-0.4550171,0.3118286,-0.03289795,0.93536377,0.10723877,-0.3361206,0.024230957,0.8427124,-0.17712402,-0.4506836,0.23516846,0.2814331,0.5628662,0.2874756,0.72198486,-0.5823364,0.25091553,0.20349121,0.7459717,-0.49298096,-0.0045776367,0.85217285,0.17504883,-0.48181152,-0.5410156,0.2859497,-0.62719727,0.64349365,0.4413452,-0.6236572,-0.046020508,0.76483154,-0.2736206,-0.3831787,-0.4397583,0.2645874,0.3748169,-0.5359497,0.7086792
-0.9022217,0.29571533,-0.15637207,0.27233887,0.83325195,-0.45562744,0.31140137,-0.03289795,0.9355469,0.10638428,-0.33581543,0.024047852,0.8425293,-0.17797852,-0.45074463,0.23504639,0.28173828,0.56243896,0.28704834,0.7223511,-0.5808716,0.2514038,0.20214844,0.74731445,-0.49371338,-0.0056762695,0.8517456,0.17510986,-0.48168945,-0.5406494,0.2859497,-0.62768555,0.644104,0.4404297,-0.6236572,-0.046936035,0.7650757,-0.27404785,-0.38226318,-0.43988037,0.26434326,0.37457275,-0.5366821,0.708313
-0.90185547,0.2962036,-0.15637207,0.27294922,0.83306885,-0.45629883,0.31097412,-0.03289795,0.93573,0.10546875,-0.33569336,0.023925781,0.84228516,-0.17883301,-0.45098877,0.23486328,0.28204346,0.5619507,0.28656006,0.7227783,-0.57940674,0.25213623,0.20074463,0.7485962,-0.49456787,-0.006652832,0.8512573,0.17510986,-0.48156738,-0.54022217,0.2861328,-0.62805176,0.6447754,0.43933105,-0.6236572,-0.047729492,0.7652588,-0.27459717,-0.38134766,-0.44000244,0.26416016,0.37438965,-0.53741455,0.7079468
-0.90026855,0.2977295,-0.15661621,0.2763672,0.83258057,-0.4584961,0.30889893,-0.033813477,0.93603516,0.1015625,-0.33605957,0.023254395,0.8411865,-0.1819458,-0.45269775,0.2331543,0.28271484,0.56048584,0.2838745,0.7246704,-0.5731201,0.25567627,0.19537354,0.7536011,-0.4975586,-0.00982666,0.84954834,0.17468262,-0.48059082,-0.5391846,0.2871704,-0.6292114,0.6470337,0.43481445,-0.6242676,-0.05053711,0.765625,-0.27697754,-0.378479,-0.44030762,0.26348877,0.3739624,-0.539978,0.70648193
-0.8999634,0.29803467,-0.1564331,0.2770996,0.83251953,-0.45910645,0.30810547,-0.03387451,0.93603516,0.10070801,-0.33624268,0.023071289,0.84088135,-0.18255615,-0.45318604,0.23272705,0.28277588,0.5602417,0.2833252,0.72509766,-0.57159424,0.25653076,0.1942749,0.7548218,-0.49822998,-0.010559082,0.84924316,0.17437744,-0.4802246,-0.53912354,0.28735352,-0.62945557,0.6473999,0.4338379,-0.6245117,-0.051086426,0.76568604,-0.27746582,-0.3779297,-0.4404297,0.26342773,0.3739624,-0.5404663,0.7061157
-0.8984375,0.29962158,-0.15710449,0.2800293,0.83270264,-0.4602661,0.30578613,-0.034057617,0.9366455,0.098083496,-0.33551025,0.020385742,0.8406372,-0.18530273,-0.4533081,0.23114014,0.28405762,0.55926514,0.28173828,0.7260132,-0.5648804,0.2584839,0.1897583,0.7602539,-0.4993286,-0.014099121,0.84851074,0.17462158,-0.48010254,-0.5385132,0.28674316,-0.6303711,0.64801025,0.43060303,-0.62579346,-0.055114746,0.76519775,-0.2781372,-0.3762207,-0.44226074,0.26342773,0.37200928,-0.5422363,0.7057495
