millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
2863,-9.177281,3.5997431,6.0157075,-47.806973,12.412109,10.408516,151.19774,35.79082,1.2832366,145.38852,-13.060503,-1.5937408,90.58682,78.76115,8.949963,89.19938,82.069405,2.66701,-84.399254,-34.47918,35.575558,-78.736244,-60.695812,6.499947,-114.4987,-73.4373,4.7623467,-87.86091,-69.196144,2.4989974
2884,-9.171095,3.6127908,6.007855,-47.840508,12.313072,9.88416,151.15813,35.805935,1.278051,145.73013,-12.81923,-1.940452,90.57934,78.76141,8.951059,89.177666,82.06738,2.6632993,-84.36333,-34.478977,35.57406,-78.75441,-60.705715,6.496268,-114.49406,-73.427704,4.757183,-87.8399,-69.18854,2.5082154
2907,-9.177593,3.606178,6.0081773,-47.759274,12.129893,9.427018,151.12389,35.826145,1.2875998,146.0597,-12.607891,-2.2683702,90.568016,78.764595,8.945708,89.155785,82.06905,2.6557698,-84.31148,-34.475163,35.578945,-78.76017,-60.71433,6.488162,-114.48723,-73.43201,4.7520213,-87.80908,-69.19191,2.5053248
2931,-9.184472,3.606527,6.007928,-47.56206,11.920473,9.079545,151.09253,35.841595,1.2845172,146.35524,-12.47046,-2.5994172,90.5606,78.76745,8.941168,89.13906,82.06627,2.6592925,-84.275375,-34.478962,35.579628,-78.779144,-60.716976,6.4846888,-114.47686,-73.43246,4.753193,-87.77352,-69.20341,2.5014086
2948,-9.177973,3.6131396,6.0076046,-47.307842,11.687167,8.828326,151.05441,35.846294,1.2951573,146.61205,-12.398315,-2.9506495,90.53772,78.75825,8.941708,89.12667,82.06696,2.6581683,-84.23923,-34.48277,35.580322,-78.789955,-60.718052,6.4872723,-114.478546,-73.427345,4.756264,-87.7432,-69.189,2.5045352
2969,-9.184472,3.606527,6.007928,-47.066143,11.472729,8.613312,151.02596,35.855232,1.29349,146.84799,-12.31844,-3.3012488,90.53017,78.75852,8.942807,89.114204,82.07101,2.6597667,-84.18647,-34.482124,35.583916,-78.809235,-60.725372,6.4865475,-114.468185,-73.427795,4.757436,-87.70319,-69.189644,2.4990628
2990,-9.177906,3.6126132,6.0006466,-46.84289,11.383222,8.43397,150.99,35.858612,1.2976236,147.05652,-12.224369,-3.6524248,90.537895,78.76178,8.947266,89.09712,82.06489,2.6605701,-84.13582,-34.48625,35.581676,-78.819695,-60.721767,6.4863853,-114.47338,-73.42654,4.754174,-87.672066,-69.193,2.4961646
3012,-9.184405,3.6060004,6.00097,-46.674343,11.378903,8.206595,150.96233,35.862343,1.3038764,147.25111,-12.129684,-4.001797,90.54185,78.76793,8.945269,89.084404,82.07262,2.658327,-84.086624,-34.494305,35.570145,-78.83894,-60.72908,6.4856644,-114.46303,-73.426994,4.755346,-87.64589,-69.193565,2.504364
3032,-9.184405,3.6060004,6.00097,-46.53928,11.313756,7.896627,150.93465,35.866077,1.3101286,147.4533,-11.983406,-4.3293033,90.51897,78.76326,8.941598,89.07162,82.073326,2.6571972,-84.00116,-34.49187,35.56898,-78.8494,-60.725483,6.4854994,-114.45268,-73.427444,4.756519,-87.614494,-69.192795,2.4979544
3054,-9.190528,3.5924268,6.0018673,-46.485752,11.13555,7.5467176,150.90244,35.85775,1.3236208,147.66049,-11.854064,-4.644645,90.51138,78.76158,8.941283,89.044495,82.06444,2.655458,-83.920074,-34.49493,35.55399,-78.860176,-60.726547,6.4880877,-114.445854,-73.431755,4.751355,-87.57895,-69.18239,2.4965777
