A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
-1.5899786,0.08127363,0.11193069,0.10914744,0.043523133,0.4343166,1.5737286,-0.21663521,0.36381868,-1.4719871,-0.22086121,1.3224895,-0.143042,-0.24749814,0.25960353,1.5026041,-0.306022,0.31566852,-0.49107617,0.56662774,0.7627107,-0.21172595,-0.15084524,0.19677939,-0.9059797,0.4614591,0.12771182,0.3829916,-0.72235566,0.8017155
-1.5899786,0.08127363,0.11193069,0.10916081,0.043549724,0.43429047,1.5737286,-0.21663521,0.36381868,-1.4719871,-0.22086121,1.3224895,-0.14303443,-0.24752161,0.2596362,1.5026064,-0.30602723,0.31563675,-0.49107617,0.56662774,0.7627107,-0.21172822,-0.15085274,0.19674686,-0.9059797,0.4614591,0.12771182,0.3829916,-0.72235566,0.8017155
-1.5899786,0.08127363,0.11193069,0.10916081,0.043549724,0.43429047,1.5737286,-0.21663521,0.36381868,-1.471987,-0.22086173,1.3224968,-0.14303443,-0.24752161,0.2596362,1.502605,-0.30603135,0.31564227,-0.49107617,0.56662774,0.7627107,-0.21172822,-0.15085274,0.19674686,-0.9059934,0.4614516,0.12770957,0.3829916,-0.72235566,0.8017155
-1.5899885,0.08125366,0.11185476,0.10917601,0.043543167,0.4342904,1.57377,-0.21660669,0.363822,-1.471987,-0.22086173,1.3224968,-0.1430598,-0.24749295,0.2596073,1.5026041,-0.306022,0.31566852,-0.49107617,0.56662774,0.7627107,-0.21172822,-0.15085274,0.19674686,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.5899785,0.08128092,0.11189508,0.10916412,0.043520443,0.4342872,1.57377,-0.21660669,0.363822,-1.471987,-0.22086173,1.3224968,-0.14308286,-0.2474609,0.25957337,1.502564,-0.30605003,0.3156921,-0.49107617,0.56662774,0.7627107,-0.21172822,-0.15085274,0.19674686,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.5899689,0.081301935,0.11197326,0.10914744,0.043523133,0.4343166,1.57377,-0.21660669,0.363822,-1.471987,-0.22086173,1.3224968,-0.1430884,-0.24747065,0.25954482,1.502526,-0.30608332,0.3156838,-0.49107617,0.56662774,0.7627107,-0.21172822,-0.15085274,0.19674686,-0.9063331,0.46144885,0.12771729,0.3829916,-0.72235566,0.8017155
-1.5899588,0.081336446,0.11197794,0.10914744,0.043523133,0.4343166,1.57377,-0.21660669,0.363822,-1.4719871,-0.22086121,1.3224895,-0.1430884,-0.24747065,0.25954482,1.502526,-0.30608332,0.3156838,-0.49107617,0.56662774,0.7627107,-0.21172822,-0.15085274,0.19674686,-0.9059934,0.4614516,0.12770957,0.3829916,-0.72235566,0.8017155
-1.5899689,0.081301935,0.11197326,0.10913554,0.0435004,0.4343134,1.57377,-0.21660669,0.363822,-1.471987,-0.22086173,1.3224968,-0.14308286,-0.2474609,0.25957337,1.502526,-0.30608332,0.3156838,-0.49107617,0.56662774,0.7627107,-0.21172822,-0.15085274,0.19674686,-0.9059934,0.4614516,0.12770957,0.3829916,-0.72235566,0.8017155
-1.5899688,0.08130921,0.111937635,0.109150745,0.043493845,0.43431336,1.57377,-0.21660669,0.363822,-1.4719871,-0.22086121,1.3224895,-0.14306301,-0.24749929,0.25957376,1.5025655,-0.3060459,0.31568658,-0.49107617,0.56662774,0.7627107,-0.21172822,-0.15085274,0.19674686,-0.9059934,0.4614516,0.12770957,0.3829916,-0.72235566,0.8017155
-1.5899787,0.081289224,0.111861706,0.10916412,0.043520443,0.4342872,1.57377,-0.21660669,0.363822,-1.4719871,-0.22086121,1.3224895,-0.1430146,-0.24755996,0.25963658,1.5026064,-0.30602723,0.31563675,-0.49106187,0.5666301,0.7627286,-0.21172822,-0.15085274,0.19674686,-0.9059934,0.4614516,0.12770957,0.3829916,-0.72235566,0.8017155
