millis,A,B,C,D,E,F,G,H,I,J,K,L
7274,120.92981,104.323166,105.32365,137.39197,141.59082,160.19685,24.325975,93.36647,106.90244,96.4806,84.98673,
7296,122.13863,102.89471,104.18319,130.3147,155.34952,159.10481,21.925323,92.03008,108.84971,97.34884,85.26776,
7316,123.45142,103.940636,104.01732,124.5802,165.32245,157.84167,20.514755,91.621994,110.22732,98.347786,85.68408,
7338,123.73021,106.328926,103.206276,120.446846,172.90195,156.705,19.579958,89.5774,111.33321,99.08232,85.86168,
7359,124.56335,109.41868,99.22235,117.41547,178.3453,156.16843,18.349545,79.84683,111.756165,99.4662,85.83577,
7421,131.17763,118.5283,94.86456,101.28863,169.43723,154.15228,17.440554,91.30173,127.49385,98.4809,87.101326,
7443,130.32861,121.69772,95.95489,100.710365,163.93575,152.51697,17.015055,91.30683,129.27731,99.40259,88.0337,
7464,130.3026,125.18827,97.35163,100.194244,160.99275,150.60757,17.407629,86.32173,130.8335,101.064545,89.10509,
7486,131.53099,128.02153,97.19874,99.938896,159.56409,149.52951,18.152752,82.68622,131.98686,103.82327,89.82657,
7506,133.23486,130.45232,98.86878,100.26176,163.1435,148.65854,19.0781,79.571785,133.46138,106.298645,90.727135,
7529,134.67792,132.68942,100.10604,100.69286,172.45561,147.61874,20.041945,75.84576,135.6733,108.28025,91.96634,
7550,136.46384,134.51016,101.46479,100.753525,177.4172,146.7318,20.931187,75.83728,137.78401,109.90287,92.99352,
7571,138.04298,135.16682,100.44336,100.29754,173.52905,145.8287,20.87852,78.59336,139.35864,111.46609,93.78349,
7593,139.78311,136.2027,99.242096,99.651955,170.43951,144.70349,21.468973,80.86038,140.27852,113.089096,94.40269,
7614,141.91731,137.51288,99.01093,99.00805,168.38612,143.52284,21.44889,80.4912,141.121,114.52182,94.943184,
7636,144.65877,139.25253,99.70429,98.84899,167.48833,142.44118,20.174171,78.742805,142.4947,115.72183,95.83085,
7658,148.47379,141.08348,100.63231,99.4807,166.638,141.317,17.620483,76.598625,143.97711,117.65976,96.884384,
7678,152.62737,143.34657,100.98261,100.58707,166.04883,140.03802,14.109645,76.384995,145.25937,120.54013,97.674126,
7700,156.18127,145.59851,99.323524,101.460526,165.63103,138.64139,10.329824,78.455376,146.50468,123.73657,98.27345,
7722,157.29301,147.71686,97.53673,101.82332,165.68141,137.34782,7.2741876,81.22454,147.70766,126.614105,98.727234,
7783,160.8847,164.05565,100.26516,103.63141,167.47003,136.10085,32.77038,76.685455,150.26497,134.23996,99.036705,
7805,161.52388,163.8566,102.59197,104.263535,168.31622,136.33157,31.73679,71.754425,151.17769,136.38019,99.01458,
7826,161.8389,162.97112,103.26427,105.02696,168.47295,136.88693,30.76119,70.673065,151.74048,137.85753,98.88747,
7848,162.15947,161.61845,103.58057,106.05665,167.84709,137.68466,29.945295,72.04564,151.86247,138.91672,98.668465,
7870,162.68648,160.09717,104.3808,107.02136,166.6742,138.43645,29.121473,73.23095,151.86555,139.92581,98.5664,
7890,163.6317,158.7378,105.92933,107.77431,165.7826,139.18626,28.33872,72.63948,151.80368,140.76468,98.50831,
7912,164.9582,157.45215,107.56213,108.65051,164.65944,139.97162,27.487232,70.06305,151.67094,141.79233,98.50389,
7935,166.51578,155.95262,107.299225,109.94213,162.95053,140.74329,26.631891,69.233604,151.31935,142.98645,98.38328,
7955,167.60176,154.37332,106.10738,111.37906,160.9737,141.45508,25.911476,69.924,150.61974,143.8615,97.974724,
7976,167.95137,152.87323,106.15025,112.622986,159.2615,142.15479,25.408106,70.66315,149.58977,144.0544,97.43382,
7997,167.94807,151.5693,105.887856,113.638435,158.03624,142.88016,25.044273,71.13666,148.40474,143.59302,96.84568,
8019,167.72801,150.4425,105.72624,114.515114,157.10907,143.5191,24.614302,71.698425,147.36166,143.05028,96.4391,
8041,167.63899,149.43085,104.792076,115.245735,156.50737,144.09651,24.22515,72.94857,146.4651,142.5292,96.06614,
8061,166.6392,148.36765,104.1538,115.86886,156.15028,144.56618,23.724178,73.16969,145.63504,141.81442,95.76604,
8083,165.0612,147.25858,103.48819,116.361,156.21098,144.95213,23.197226,73.22529,144.63818,140.75174,95.41888,
8104,164.12265,146.16219,102.00074,116.65707,156.57413,145.28177,22.719246,74.52847,143.51483,139.50027,94.96181,
