millis,Org_Angle,Teat_Angle
11421,151.43764,140
11432,149.72292,139
11440,149.70828,138
11453,147.96886,137
11460,147.98073,136
11473,146.3234,135
11481,146.3234,135
11493,144.59296,134
11501,144.58934,133
11512,142.70041,132
11521,142.68768,131
11532,140.93726,130
11540,140.94664,129
11553,139.54305,128
11560,139.5333,127
11573,137.91504,126
11581,137.91667,126
11594,136.15048,125
11600,136.14609,124
11613,134.47769,123
11620,134.47769,122
11632,132.63326,121
11645,132.62537,120
11653,130.67218,119
11662,130.67215,118
11672,128.80406,117
11681,128.81232,117
11692,126.91702,116
11699,126.90428,115
11712,124.94069,114
11721,124.95021,113
11732,123.21651,112
11740,123.21651,111
11753,121.46852,110
11761,121.475784,109
11773,119.58134,108
11781,119.58134,108
11792,117.616516,107
11801,117.629456,106
11812,115.64442,105
11819,115.6536,104
11832,113.83671,103
11842,113.83592,102
11853,112.250496,101
11861,112.24335,100
11872,110.487724,99
11880,110.47614,99
11894,108.64644,98
11901,108.650085,97
11913,106.86475,96
11920,106.8927,95
11933,105.28233,94
11941,105.32323,93
11953,103.78386,92
11961,103.82518,91
11972,102.26592,90
11980,102.33622,90
11992,100.657265,89
11999,100.72365,90
12013,98.899605,91
12020,98.94221,92
12033,97.55481,93
12040,97.60867,94
12053,96.90317,95
12060,96.96535,96
12073,96.8264,97
12080,96.84329,97
12092,96.98212,99
12100,96.94678,99
12112,97.31434,100
12120,97.256744,101
12132,98.054886,102
12140,97.98517,103
12153,99.13544,104
12159,99.089005,105
12172,100.41828,106
12180,100.40547,106
12193,102.02889,107
12199,101.99398,108
12212,103.8554,109
12220,103.792244,110
12233,105.589264,111
12239,105.5648,112
12253,107.15285,113
12261,107.149864,114
12273,108.98581,115
12280,108.995544,115
12294,110.89153,117
12299,110.89043,117
12313,112.78163,118
12320,112.76034,119
12333,114.56864,120
12340,114.56589,121
12352,116.13701,122
12359,116.13957,123
12373,117.76458,124
12380,117.775665,124
12393,119.65795,125
12400,119.65316,126
12414,121.64578,127
12420,121.66309,128
12433,123.49807,129
12440,123.46838,130
12453,125.1151,131
12459,125.11809,132
12473,126.745285,133
12480,126.73711,133
12493,128.44534,135
12500,128.45471,135
12512,130.3761,136
12520,130.37149,137
12533,132.51013,138
12541,132.52412,139
12552,134.47618,140
12559,134.46632,141
12573,136.04724,142
12580,136.05734,142
12592,137.67017,143
12600,137.66966,144
12612,139.38449,145
12619,139.38449,146
12633,141.21349,147
12639,141.1998,148
12652,143.18925,149
12659,143.20395,149
12673,145.1259,151
12680,145.13408,151
12692,147.00821,152
12700,146.98306,153
12712,148.7326,154
12720,148.73956,155
12733,150.13393,156
12739,150.12448,157
12753,151.70906,158
12761,151.70357,158
12773,153.55243,159
12780,153.56618,160
12792,155.52272,161
12799,155.52272,162
12812,157.46838,163
12820,157.46237,164
12833,159.04974,165
12840,159.04982,165
12852,160.5747,166
12858,160.58438,167
12872,162.10493,168
12880,162.10493,169
12892,163.73592,170
12900,163.73062,171
12915,165.4098,172
12919,165.4197,173
12933,167.00684,174
12939,167.00684,174
12953,168.52728,175
12960,168.55467,176
12973,170.25201,177
12979,170.24496,178
12993,172.07417,179
12999,172.0502,180
13012,173.73003,181
13019,173.72552,181
13033,175.41806,179
13039,175.3826,179
13052,176.89076,178
13060,176.85434,177
13073,177.60413,176
13079,177.70714,175
13093,177.84824,174
13099,177.74797,173
13113,177.6434,172
13118,177.77296,172
13132,177.1752,170
13139,177.16165,170
13152,175.83769,169
13159,175.87042,168
13173,174.46841,167
13180,174.44882,166
13193,173.21048,165
13199,173.16705,164
13212,171.94667,163
13219,171.90681,163
13232,170.57487,162
13238,170.59697,161
13252,169.09651,160
