millis,真实角度,测量角度
14750,109.814,116
14754,109.804115,116
14770,111.69567,117
14775,111.69517,118
14790,113.55267,119
14795,113.55267,120
14809,115.34078,121
14814,115.34078,121
14829,117.10454,123
14834,117.10454,123
14850,118.97525,125
14854,118.973,125
14875,120.76364,126
14880,120.75534,127
14891,122.5336,128
14895,122.53316,129
14911,124.35817,130
14916,124.3586,130
14933,126.08392,132
14934,126.08392,132
14950,127.843094,134
14954,127.843094,134
14969,129.74901,135
14975,129.74884,136
14990,131.6413,137
14995,131.64067,138
15010,133.4236,139
15014,133.43445,139
15030,135.09564,141
15035,135.07538,141
15050,136.80971,143
15055,136.81044,143
15069,138.64032,144
15074,138.6308,145
15091,140.44315,146
15094,140.44315,147
15110,142.285,148
15114,142.285,148
15130,144.0446,150
15134,144.0446,150
15149,145.79791,152
15155,145.79819,152
15170,147.62106,153
15175,147.62082,154
15190,149.2913,155
15195,149.29025,156
15209,150.76817,157
15215,150.7582,157
15229,152.50243,159
15233,152.5036,159
15249,154.33177,161
15254,154.33177,161
15270,156.43417,162
15274,156.43417,163
15289,158.39508,164
15294,158.39508,165
15310,160.07935,166
15314,160.07935,166
15330,161.61732,168
15334,161.59576,168
15350,163.37355,170
15355,163.37355,170
15369,165.19588,171
15374,165.2217,172
15390,166.81862,173
15396,166.81862,174
15412,168.27188,175
15419,168.27188,175
15430,169.86665,177
15434,169.86723,177
15449,171.58534,179
15454,171.58452,179
15469,173.37277,180
15474,173.37398,181
16490,178.31009,179
16494,178.36877,179
16510,178.36111,177
16513,178.19778,177
16529,178.2312,175
16533,178.2312,175
16549,178.19528,174
16553,178.19528,173
16569,178.15506,172
16573,178.15506,172
16589,177.21133,170
16593,177.19543,170
16609,175.89922,168
16613,175.89922,168
16629,174.50584,167
16634,174.5522,166
16649,173.20526,165
16652,173.20526,165
16670,171.83276,163
16675,171.81834,163
16689,170.57416,161
16694,170.57509,161
16710,169.00548,159
16712,168.99535,159
16730,167.24017,158
16733,167.23964,157
16749,165.59819,156
16752,165.5986,156
16770,164.22212,154
16772,164.22212,154
16789,162.77588,152
16793,162.77563,152
16809,161.09634,150
16813,161.09634,150
16829,159.20529,149
16832,159.20529,148
16849,157.5813,147
16853,157.57127,147
16869,156.04279,145
16873,156.04279,145
16890,154.48227,143
16892,154.48227,143
16909,152.64693,142
16913,152.64816,141
16931,150.69293,140
16933,150.69283,140
16950,148.82898,138
16952,148.83907,138
16969,147.02817,136
16972,147.01562,136
16989,145.26953,134
16992,145.27162,134
17009,143.53026,133
17013,143.53004,132
17029,141.92831,131
17032,141.92831,131
17049,140.45123,129
17052,140.4515,129
17069,138.93954,127
17072,138.93927,127
17089,137.10342,125
17094,137.09319,125
17109,135.1474,124
17113,135.15799,123
17129,133.2691,122
17133,133.26843,122
17150,131.50371,120
17152,131.50499,120
17169,129.73067,118
17172,129.73906,118
17190,127.83037,116
17192,127.83037,116
17209,125.82886,115
17213,125.829414,114
17229,124.02852,113
17232,124.02852,113
17249,122.377884,111
17252,122.377884,111
17270,120.633766,109
17274,120.633766,109
17291,118.725815,108
17295,118.726265,107
17309,116.774185,106
17313,116.774185,106
17329,114.93006,104
17334,114.93006,104
17350,113.37166,102
17352,113.37166,102
17369,111.86201,100
17373,111.86201,100
17390,109.960884,99
17392,109.960884,98
17410,108.23639,97
17413,108.23974,97
17430,106.48466,95
17433,106.49131,95
17451,104.62997,93
17453,104.64066,93
17470,102.68875,91
17473,102.709335,91
17489,100.761116,90
17494,100.82182,89
18509,93.6875,91
18511,93.8808,91
18530,93.8808,93
18532,93.8808,93
18549,93.88,95
18551,93.87535,95
18569,93.88925,96
18571,93.88403,97
18589,94.32358,98
18590,94.29012,98
18609,95.25376,100
18611,95.17039,100
18629,96.50104,102
18631,96.40847,102
18648,97.8291,104
18651,97.818825,104
18669,99.47729,105
18670,99.463066,106
18690,101.28903,107
18690,101.2786,107
18709,103.10427,109
18711,103.09798,109
18729,104.93252,111
18730,104.92804,111
18749,106.68095,113
18751,106.68095,113
18770,108.57085,114
18770,108.56377,115
18789,110.552505,116
18791,110.549034,116
18810,112.32865,118
18810,112.321724,118
18829,114.09129,120
18831,114.09119,120
18849,115.80076,122
18850,115.80028,122
18870,117.51793,123
18870,117.51793,124
18890,119.47829,125
18891,119.47829,125
18909,121.36557,127
18911,121.36557,127
18928,123.13754,129
18930,123.12714,129
18949,124.88303,131
18952,124.8826,131
18969,126.63265,132
18970,126.64255,133
18988,128.36272,134
18990,128.36272,134
19009,130.14673,136
19010,130.13681,136
19029,132.0417,138
19031,132.0417,138
19050,134.10458,140
19050,134.10352,140
19069,135.85622,141
19071,135.85622,142
19089,137.54993,143
19091,137.54993,143
19109,139.31009,145
