millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
6012,142.7221,-26.17895,-26.3025,-42.775978,-26.702868,-61.202076,-50.68994,58.63632,-7.670688,-110.017845,-15.881282,-15.411324
6021,142.51335,-26.248861,-26.310495,-42.64781,-26.77311,-61.175766,-50.67497,58.61282,-7.687915,-110.4568,-18.251816,-13.7894945
6032,142.21794,-26.342709,-26.246103,-42.636158,-26.862438,-61.115364,-50.652813,58.59831,-7.6867833,-110.645256,-20.75336,-11.75889
6042,141.8577,-26.431421,-26.108398,-42.661858,-26.675234,-61.23927,-50.635914,58.59441,-7.675074,-110.92414,-23.238821,-9.3757305
6055,141.52968,-26.436583,-25.90691,-42.61111,-26.507904,-61.358337,-50.600216,58.58954,-7.6588635,-111.08862,-25.78807,-6.699444
6411,141.2773,-26.359512,-25.683884,-42.604267,-26.61248,-61.286503,-50.57997,58.57207,-7.65053,-111.08903,-28.363924,-3.8524473
6411,141.05772,-26.273188,-25.44993,-42.68081,-26.655783,-61.23878,-50.537754,58.544323,-7.6488767,-111.30882,-30.701443,-0.96947783
6795,136.78726,-26.652618,-20.100433,-42.7043,-26.6374,-61.235287,-100.70745,67.16323,-21.971695,-115.406136,-13.589652,0.10867411
6812,134.34662,-26.903343,-20.572039,-42.933792,-26.660639,-61.149616,-54.664154,60.44651,-12.062143,-112.39503,-13.2634945,1.1382025
6822,136.52757,-25.780733,-20.88179,-42.933006,-26.658934,-61.153187,-54.600067,60.406006,-12.02306,-112.29418,-13.197997,1.2022856
6831,135.68306,-26.394564,-20.641277,-42.909767,-26.652782,-61.163002,-54.552284,60.309803,-12.018407,-112.2386,-13.19113,1.2088964
6991,134.11464,-26.861786,-20.847666,-42.851982,-26.664421,-61.17114,-54.231518,60.11437,-11.947603,-112.269295,-11.942933,0.9091807
7008,134.27878,-26.58449,-20.948769,-42.859303,-26.659218,-61.172596,-54.17388,60.059036,-11.95976,-112.26002,-11.806234,0.8808315
7019,134.63531,-26.42288,-21.067028,-42.87682,-26.660355,-61.16814,-54.128174,60.008217,-11.980293,-112.23246,-11.75144,0.8722707
7032,134.17902,-26.745008,-20.98151,-42.884136,-26.655144,-61.16959,-54.09739,59.965054,-12.003338,-112.25851,-11.689798,0.85660464
7038,133.6502,-26.984915,-20.898327,-42.88939,-26.658165,-61.165474,-54.315144,60.472485,-11.736067,-112.2641,-11.630684,0.8458167
7069,133.36244,-26.664482,-20.677404,-42.91996,-26.659115,-61.1571,-55.371124,61.24759,-12.222314,-112.192955,-11.531879,0.82844335
7082,133.47324,-26.477484,-20.679111,-42.92727,-26.653908,-61.158543,-55.707127,61.36134,-12.382019,-112.125885,-11.434966,0.8768149
7089,133.50327,-26.358322,-20.724815,-42.91996,-26.659115,-61.1571,-55.804775,61.54198,-12.449696,-112.119194,-11.280867,0.86034095
7099,133.55151,-26.303165,-20.839325,-42.91422,-26.654093,-61.16246,-55.85356,61.716465,-12.53492,-112.13017,-11.125503,0.82964134
7332,133.52005,-26.329065,-20.929222,-42.89671,-26.652962,-61.166916,-56.130714,61.85987,-12.805818,-112.14564,-11.014276,0.8537871
7370,133.20978,-26.527319,-20.936983,-42.90165,-26.65628,-61.165127,-56.874454,61.891518,-13.491246,-112.099625,-10.995351,0.87024707
7548,130.74918,-26.945606,-21.226631,-42.987873,-26.653788,-61.143013,-141.7624,58.086113,-22.325766,-111.811195,-9.268324,1.1164994
7558,130.44246,-26.951584,-21.05829,-42.987873,-26.653788,-61.143013,-142.0877,57.647743,-22.119263,-111.75892,-9.138833,1.1317095
7568,130.79485,-26.672775,-21.09749,-42.96463,-26.64764,-61.15283,-141.6557,57.41629,-21.570822,-111.64632,-9.009589,1.142601
7579,130.96411,-26.672705,-21.126465,-42.957325,-26.65285,-61.151398,-141.29073,57.067554,-21.158583,-111.63696,-8.943851,1.1438638
7588,130.95847,-26.91823,-21.217222,-42.939037,-26.650013,-61.15944,-140.06606,57.42811,-20.354662,-111.58727,-8.916678,1.1249505
7598,131.13255,-26.972977,-21.372194,-42.908478,-26.649069,-61.167812,-144.23251,54.553223,-22.655014,-111.600876,-8.9437,1.1162674
7609,131.46799,-26.961409,-21.505821,-42.888584,-26.656467,-61.169037,-143.8206,53.964066,-21.636118,-111.59659,-8.986665,1.1040372
7619,131.68054,-27.071146,-21.637726,-42.852238,-26.650496,-61.18275,-143.18236,53.371765,-20.40166,-111.54319,-9.004457,1.0883179
7717,131.55338,-27.169666,-21.6445,-42.827057,-26.654863,-61.188065,-143.47253,52.41018,-20.078846,-111.52278,-9.0119295,1.0483378
7717,131.40369,-27.23188,-21.605474,-42.801342,-26.65722,-61.194607,-143.01079,51.9654,-19.669796,-111.57134,-9.013214,1.0174828
7870,127.84036,-28.361898,-20.44859,-42.95498,-26.661373,-61.148186,-73.58127,56.3094,-14.897095,-111.35765,-7.9608727,1.1291859
7879,127.82015,-28.307188,-20.15145,-42.96802,-26.66119,-61.14426,-83.35846,57.06037,-20.981165,-111.10779,-7.896705,1.0895311
7890,128.13757,-27.935621,-19.830763,-42.986298,-26.66402,-61.136223,-80.5065,58.80351,-18.359562,-111.460945,-7.91868,1.1136154
7901,128.79391,-27.344301,-19.586658,-43.00613,-26.656618,-61.13496,-70.911285,59.423702,-11.737654,-111.12752,-7.9487934,1.0555378
7908,129.4219,-27.151297,-19.561571,-43.039574,-26.669098,-61.11924,-70.2938,53.84514,-15.609126,-111.32519,-8.070749,1.0279441
8005,129.76334,-27.162937,-19.609161,-43.047607,-26.665594,-61.11708,-68.444145,49.940422,-16.871195,-111.29603,-8.171556,0.9497736
8006,130.28651,-27.312292,-19.907013,-43.056446,-26.650146,-61.125267,-66.762054,48.278084,-16.668392,-111.40396,-8.257833,0.89890915
8019,132.93301,-27.314892,-20.00624,-42.969585,-26.650957,-61.15105,-67.390976,51.77846,-14.740841,-111.28358,-8.151019,0.84508175
8028,132.92073,-27.257631,-19.963223,-42.95498,-26.661373,-61.148186,-67.61325,52.16164,-14.584773,-111.28459,-8.065871,0.8688297
8038,132.90823,-27.401348,-20.087454,-42.943993,-26.653336,-61.157654,-67.73945,52.396206,-14.478807,-111.27281,-8.003565,0.87640977
8048,132.9681,-27.587301,-20.305906,-42.91917,-26.65741,-61.160675,-67.66828,52.361774,-14.444588,-111.28445,-7.9685163,0.87553763
8058,132.97617,-27.791378,-20.528275,-42.91342,-26.652391,-61.166027,-67.50463,52.18217,-14.473956,-111.28601,-7.965024,0.8695472
8073,132.89807,-27.945658,-20.697727,-42.906097,-26.6576,-61.16458,-67.38243,52.048847,-14.503014,-111.290634,-7.9918213,0.860226
8080,132.83368,-27.978264,-20.812017,-42.906097,-26.6576,-61.16458,-67.36358,52.073814,-14.463754,-111.28006,-8.013253,0.8535141
8089,132.83737,-27.916166,-20.886354,-42.91342,-26.652391,-61.166027,-67.43185,52.226604,-14.379762,-111.25206,-8.034653,0.8456974
8098,132.66273,-27.887487,-20.864805,-42.924423,-26.66043,-61.15656,-67.462074,52.37139,-14.274451,-111.24352,-8.032768,0.82957405
8108,132.41643,-27.84599,-20.807146,-42.93173,-26.655222,-61.158005,-67.43553,52.441845,-14.179436,-111.24298,-8.030685,0.81411815
8443,132.10822,-27.77805,-20.707016,-42.94924,-26.65635,-61.153538,-67.357185,52.4574,-14.091434,-111.232185,-8.034129,0.79429275
8443,131.58614,-27.811008,-20.575703,-42.962284,-26.65617,-61.149616,-67.24908,52.459187,-14.006775,-111.232796,-8.04033,0.79011834
