millis,A0,A1,A2,B0,B1,B2
3602,13.460097,13.466483,-76.4902,-14.413963,12.387629,-58.253147
3612,11.397357,11.188404,-77.91251,-16.496895,9.595859,-56.496323
3622,9.540745,8.736832,-78.27021,-18.23586,6.723745,-54.62899
3635,7.7728724,6.0177407,-77.503,-19.762762,3.6902072,-52.570683
3643,6.4037576,3.4562235,-75.66037,-21.157911,0.6352042,-50.35987
3652,5.873765,1.5126563,-73.28991,-22.169304,-2.367112,-48.258266
3665,5.9722505,-0.122614175,-70.84662,-22.650585,-5.4218054,-46.295185
3672,6.6353955,-1.6842314,-68.323395,-22.857151,-8.725459,-44.342052
3683,7.834853,-3.29752,-65.75862,-22.923862,-12.280746,-42.354584
3693,9.545384,-5.007506,-63.150536,-22.910355,-15.873583,-40.42487
3702,11.725914,-6.87188,-60.68217,-22.868172,-19.43512,-38.63866
3713,13.967389,-9.17058,-58.180466,-23.011194,-23.311121,-37.03848
3724,16.432459,-11.821587,-55.70911,-23.493309,-27.468014,-35.301277
3733,19.252499,-14.627818,-53.192303,-24.575754,-31.912327,-33.175728
3744,22.080004,-17.469303,-50.580536,-25.825264,-36.08272,-30.999794
3753,24.735731,-20.38498,-47.98507,-27.065882,-39.761078,-28.879904
3764,27.211166,-23.21123,-45.425564,-28.205084,-42.956974,-26.849934
3774,29.612875,-25.802023,-43.05074,-29.029428,-45.63066,-25.114069
3783,32.05872,-28.125992,-40.900883,-29.46809,-47.822086,-23.646347
3793,34.704063,-30.038933,-39.039562,-29.493137,-49.58025,-22.521742
3807,37.405483,-31.55927,-37.425594,-29.172663,-51.020557,-21.716768
3813,40.015156,-32.605366,-36.063263,-28.457182,-52.038395,-21.145555
3823,42.09538,-33.014244,-34.85551,-27.163448,-52.420906,-20.674047
3833,43.550945,-32.792553,-33.771324,-25.233515,-52.1117,-20.22643
3842,44.621746,-32.177273,-32.794262,-22.8678,-51.339832,-19.674402
3853,45.50701,-31.168673,-31.862297,-20.198479,-50.331867,-19.034626
3863,46.468517,-30.033457,-30.923994,-17.220715,-49.27815,-18.382324
3872,47.816387,-28.726852,-29.99834,-13.9031105,-48.203888,-17.71788
3883,49.158127,-27.112963,-28.809399,-10.317949,-47.0354,-16.685593
3893,50.339104,-25.235157,-27.302177,-6.457089,-45.422295,-15.529
3907,51.27925,-23.120663,-25.447556,-2.6555247,-43.601467,-14.296389
3915,51.792793,-20.975975,-23.25603,0.7094282,-41.97764,-12.879213
3923,51.81241,-19.06811,-20.90794,3.5233371,-40.739254,-11.375825
3932,51.33462,-17.707186,-18.517954,6.0489354,-39.82836,-9.876284
3943,50.56911,-16.502989,-16.18223,8.952316,-38.405487,-8.708221
3953,49.747158,-14.1039505,-13.997673,12.336189,-35.519855,-7.758969
3964,49.47126,-10.085272,-12.098391,15.892647,-30.92105,-6.5876546
3973,49.891376,-4.946051,-10.398917,19.415674,-24.793304,-4.720139
3983,51.357624,1.1199292,-8.712504,22.943283,-18.652956,-2.1119306
3993,53.779945,8.338973,-6.785497,25.528671,-12.85496,1.1300981
4002,55.83198,15.0735035,-4.892203,26.04956,-7.24574,4.8279614
4019,57.534203,20.50269,-3.5002759,25.557829,-1.4685081,7.9989753
4023,59.22227,26.400003,-2.3386931,25.315004,4.571323,10.425849
4033,60.579517,32.475094,-1.4842325,24.853245,10.407536,12.536567
4043,61.2276,37.86012,-1.2940505,23.272034,16.010046,14.344124
4054,61.736164,43.320084,-1.587304,21.19928,21.68765,15.69121
4068,62.64948,49.06598,-1.9779502,19.372038,27.51585,16.784643
4073,63.755375,54.69305,-2.5080276,17.38284,33.433376,17.79173
4084,65.29633,60.253376,-3.0853484,14.9411955,39.41852,18.641876
4093,67.48603,65.78397,-3.5513794,11.868515,44.95184,19.309347
4103,69.79457,70.77171,-4.1349897,8.312205,49.34829,19.618628
4115,71.63492,74.55175,-4.9893804,3.8712351,52.9969,19.318295
4126,72.66353,76.9771,-6.3675776,-1.4635816,56.40219,18.24115
4135,73.18134,78.130196,-8.21896,-7.880821,59.940914,16.367512
4143,73.482414,77.99345,-10.481057,-14.773292,63.655136,13.9773655
4153,73.93609,76.7515,-12.89963,-22.176516,67.39845,11.298638
4163,74.58575,74.74344,-15.255768,-29.876308,70.94679,8.496327
4173,75.272224,72.24533,-17.553135,-37.338585,74.07887,5.7968874
4183,75.632,69.58006,-19.76009,-43.164066,76.35165,3.3111935
