millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
3541,82.63528,-24.612686,-3.6259086,-67.026,-51.869457,5.891404,-94.50437,-84.0328,4.58836,-61.969265,-45.319263,-3.968073,-128.67723,5.5728126,0.33346227,57.639698,-0.9318293,-2.1654341,92.630806,8.277515,15.633591,31.34956,-19.015455,-0.95672804,-164.28444,54.177902,9.222243,-107.19778,54.04759,3.9069889
3563,82.635376,-24.617807,-3.6302762,-67.026,-51.869457,5.891404,-94.51103,-84.027695,4.592137,-61.969265,-45.319263,-3.968073,-128.6778,5.566513,0.33044675,57.639698,-0.9318293,-2.1654341,92.630806,8.277515,15.633591,31.355959,-19.01836,-0.95041376,-164.28444,54.177902,9.222243,-107.19778,54.04759,3.9069889
3584,82.636055,-24.61665,-3.6312773,-67.03937,-51.884666,5.906356,-94.50309,-84.01923,4.588755,-62.29122,-45.426598,-3.653749,-128.66483,5.5382643,0.32544148,57.412235,-1.2802408,-1.7536668,92.23505,10.273599,14.536597,31.33272,-18.62769,-0.9330303,-164.27876,54.170204,9.247145,-107.15353,54.41931,3.8027017
3601,82.43163,-25.914211,-2.793638,-67.45983,-51.84071,6.22225,-91.25091,-85.201385,1.38097,-63.509605,-46.56471,-2.8461125,-128.91754,1.5155001,0.25112614,57.39564,-0.86346173,-1.4375346,94.354095,22.06916,12.871595,31.627542,-9.658909,-0.5350836,-164.40291,54.43488,9.163421,-107.02376,54.958023,3.5999377
3622,81.51172,-23.639238,-2.5538635,-66.94832,-50.877056,6.2566047,-90.36567,-82.43323,0.6830729,-64.40287,-47.39417,-2.6142323,-128.7408,0.99251693,0.2433767,57.833054,-0.43133056,-1.4608843,96.97921,23.030008,14.027902,32.14062,-2.1707091,-0.3482916,-164.37476,54.356667,9.132137,-107.18024,54.405354,3.7572196
3643,81.954544,-24.727858,-2.246105,-66.89056,-51.11239,6.2454653,-90.70889,-84.45188,0.9033868,-62.86218,-45.88151,-3.0735595,-128.59673,3.1289227,0.43312564,57.721798,-0.4940365,-1.725906,97.91178,22.830658,15.159195,32.832302,-2.7359078,0.0550709,-164.43205,54.30389,9.162479,-107.15263,54.217968,3.863783
3663,84.40025,-27.678293,-3.0916798,-67.22142,-52.890877,6.229562,-91.886856,-87.61855,1.8591398,-59.743587,-44.714077,-1.8062389,-128.59476,3.6921093,0.42383406,58.092785,-0.47353527,-1.7832416,97.78356,21.425749,14.880784,33.14685,-2.548966,0.15427946,-164.34784,54.212738,9.124911,-107.35266,53.70675,3.7890694
3682,87.10691,-28.364632,-3.3674297,-64.6575,-51.044518,5.303347,-91.92474,-87.49837,2.0158799,-56.288784,-41.815502,-1.2688631,-127.32663,4.2970653,0.3516562,59.34983,-0.63871753,-1.7325789,98.09906,20.202883,14.841024,33.408123,-4.5956097,0.1290445,-164.07986,53.860817,8.959566,-108.12269,52.167057,3.6336083
3702,84.875084,-21.062006,-1.6290569,-62.196514,-47.9484,4.3232603,-92.83791,-82.44537,3.2159395,-53.982777,-40.040142,-2.120613,-127.23295,5.332515,0.20225856,59.33513,-0.7656342,-1.7644086,97.78568,22.24956,15.105306,34.215187,-4.7399235,0.2065669,-163.96184,53.508213,8.781812,-108.52128,51.689175,3.4392524
3722,84.148766,-19.627401,-2.8969748,-62.711708,-47.61527,4.805717,-94.1346,-78.968376,4.831328,-52.096188,-38.503662,-3.0035608,-129.1399,6.032799,0.22510543,58.813686,-0.35845146,-1.9846412,97.00839,20.885887,16.01236,34.142002,-4.0383334,0.18918619,-164.16266,53.52395,8.886464,-108.71941,51.949913,3.0494523
