millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
33037,-76.39033,27.685005,-26.671024,130.69806,48.450607,-28.268358,134.24232,5.0865717,0.84886104,-88.822685,8.459283,-1.3063108,92.53709,1.6434226,-2.0458,13.524122,-1.7824377,-3.3609667
33047,-76.837814,26.291811,-28.832449,131.66006,46.61786,-30.11087,134.24213,5.089277,0.85529906,-88.80284,8.464054,-1.3100294,92.5272,1.6480982,-2.0407302,13.524156,-1.7902113,-3.3548455
33058,-76.9756,24.429134,-31.042185,132.85602,44.61281,-31.930632,134.23357,5.0919113,0.8614304,-88.792755,8.46458,-1.3089842,92.51753,1.6430895,-2.045932,13.523633,-1.8188065,-3.3511858
33069,-76.873764,22.343662,-33.462074,134.1194,42.50043,-33.847584,134.2267,5.09756,0.87392676,-88.7734,8.4599085,-1.3125181,92.50786,1.6380798,-2.051133,13.529356,-1.8757795,-3.3439543
33079,-76.57768,20.073643,-36.149387,135.24355,40.242783,-35.949444,134.21844,5.0964613,0.8892099,-88.75532,8.440077,-1.3214976,92.508194,1.6233574,-2.0564117,13.528335,-1.9329685,-3.3366346
33091,-76.463745,17.917927,-39.07504,135.78304,37.974808,-38.296673,134.21227,5.0929646,0.89798534,-88.74652,8.42544,-1.3258998,92.50853,1.6086352,-2.0616908,13.528058,-1.9623967,-3.326033
33100,-76.86078,16.052269,-42.22436,135.57248,35.69802,-40.94778,134.20369,5.0956035,0.9041147,-88.73584,8.44081,-1.3295888,92.50875,1.598946,-2.0719595,13.520618,-1.9981465,-3.3230956
33111,-77.9254,14.421474,-45.576836,134.88367,33.267036,-43.840378,134.18898,5.093064,0.8969921,-88.70776,8.416109,-1.3329868,92.49887,1.5939506,-2.0769968,13.520121,-2.0267408,-3.3194332
33121,-79.73362,12.911929,-48.881947,133.52977,30.836592,-46.67835,134.18059,5.0929937,0.8966845,-88.69013,8.386842,-1.3418118,92.49888,1.5891142,-2.0820518,13.519988,-2.0414548,-3.3141305
33133,-82.4766,11.566491,-51.79871,131.37302,28.645422,-49.16741,134.1741,5.0932307,0.8963065,-88.67131,8.3673315,-1.3406432,92.489204,1.5889375,-2.082193,13.519857,-2.0561686,-3.3088284
33143,-85.97214,10.440535,-54.09554,128.59233,26.757303,-51.22723,134.1594,5.090688,0.8891847,-88.65364,8.338066,-1.3494868,92.489525,1.5790514,-2.0824153,13.519369,-2.084762,-3.3051648
33154,-89.687645,9.454643,-55.792927,125.608826,25.072998,-52.94362,134.151,5.090617,0.88887745,-88.63365,8.333297,-1.3431859,92.48974,1.5741955,-2.087628,13.512252,-2.0988576,-3.3067002
33164,-93.237915,8.484929,-57.12192,122.761246,23.409565,-54.48005,134.14262,5.090547,0.88857025,-88.60436,8.323343,-1.3414785,92.47985,1.5740371,-2.0876093,13.505621,-2.08436,-3.3119009
33176,-96.591515,7.390494,-58.35813,120.069466,21.677332,-55.93019,134.13611,5.0907836,0.88819206,-88.59482,8.31899,-1.3454572,92.47018,1.5738598,-2.0877492,13.499719,-2.0421016,-3.3138304
33186,-99.97074,6.185295,-59.548634,117.33533,19.909576,-57.258526,134.12123,5.09095,0.88750666,-88.5761,8.309045,-1.3543372,92.47017,1.5786977,-2.0826957,13.484214,-2.0060694,-3.3232102
33197,-103.47943,4.9285145,-60.605713,114.47841,18.134638,-58.4545,134.11282,5.0908794,0.88719934,-88.55725,8.294524,-1.358058,92.46049,1.5785209,-2.0828357,13.477958,-1.9776927,-3.3267853
33207,-106.96172,3.5922275,-61.50813,111.72222,16.349602,-59.518993,134.10443,5.090809,0.8868922,-88.547264,8.2996235,-1.3621967,92.450806,1.5831826,-2.0779238,13.471748,-1.9570876,-3.324238
33217,-110.34108,2.2289314,-62.27784,109.03646,14.650837,-60.419025,134.10634,5.0911155,0.88682103,-88.52725,8.299842,-1.3607615,92.450806,1.5831826,-2.0779238,13.465453,-1.9209402,-3.3339448
33227,-113.637054,0.8089835,-62.912857,107.38878,12.558766,-61.462204,134.09843,5.084607,0.8892366,-88.51783,8.300073,-1.3699067,92.441124,1.5878454,-2.0730124,13.459574,-1.8786819,-3.3358965
33239,-116.65207,-1.0936342,-63.73199,105.66548,10.557152,-62.191303,134.09004,5.0845366,0.8889297,-88.507126,8.310457,-1.3687286,92.43144,1.5828298,-2.078205,13.4588785,-1.9142152,-3.3330357
