millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
5351,1.9044707,-1.1451018,-44.177727,159.30792,-5.4342217,-11.682693,135.92053,9.75878,7.7729635,-61.220455,17.390005,-25.31046,94.57428,1.9587396,2.3986456,-101.26259,2.1095402,-4.0229173,-49.61185,-23.919922,3.4324334
5363,1.917442,-1.1398393,-44.17779,159.32248,-5.4329295,-11.683616,135.92053,9.75878,7.7729635,-61.20498,17.38252,-25.311417,94.56477,1.958953,2.3984845,-101.2715,2.1091764,-4.0230656,-49.574474,-23.93388,3.4299364
5376,1.9280305,-1.1410298,-44.18059,159.33502,-5.4380374,-11.682592,135.91953,9.765258,7.7702894,-61.2017,17.384415,-25.311117,94.55528,1.9591669,2.3983235,-101.2715,2.1091764,-4.0230656,-49.54934,-23.942045,3.4268005
5388,1.9383724,-1.1422427,-44.18076,159.34956,-5.4367456,-11.6835165,135.911,9.768007,7.7759724,-61.185783,17.382496,-25.315006,94.545784,1.9593805,2.3981624,-101.28046,2.1142187,-4.0187707,-49.511948,-23.955997,3.424288
5400,1.9487144,-1.1434555,-44.180935,159.3641,-5.435453,-11.684439,135.91287,9.768736,7.776181,-61.1825,17.384392,-25.314705,94.536285,1.9595944,2.3980014,-101.28937,2.1138554,-4.018919,-49.48275,-23.97119,3.4225242
5413,1.9590563,-1.1446682,-44.181107,159.37665,-5.4405622,-11.683419,135.91287,9.768736,7.776181,-61.169178,17.386265,-25.312534,94.526405,1.9596205,2.3978143,-101.29913,2.1137476,-4.019174,-49.449635,-23.98435,3.421252
5425,1.9720284,-1.139405,-44.181164,159.39119,-5.4392686,-11.684341,135.90463,9.768963,7.775447,-61.152576,17.390032,-25.310055,94.52679,1.9598076,2.3978405,-101.29827,2.1134918,-4.0190673,-49.420403,-23.99954,3.41947
5440,1.9823698,-1.1406177,-44.181335,159.39845,-5.4386225,-11.684804,135.90463,9.768963,7.775447,-61.146675,17.388136,-25.315815,94.51728,1.9600214,2.397679,-101.308044,2.1133842,-4.0193224,-49.387367,-24.009264,3.409238
5450,1.992711,-1.1418302,-44.181503,159.411,-5.443732,-11.683785,135.90363,9.775442,7.7727714,-61.133804,17.384441,-25.310719,94.50778,1.9602348,2.3975177,-101.31694,2.113021,-4.0194707,-49.349915,-24.023209,3.4066818
5462,2.0030522,-1.1430428,-44.181683,159.42554,-5.442439,-11.68471,135.89539,9.775667,7.772037,-61.117878,17.382524,-25.31461,94.4979,1.9602612,2.3973308,-101.32585,2.1126578,-4.0196185,-49.320274,-24.035597,3.4111857
5482,2.0133932,-1.1442553,-44.181854,159.44008,-5.4411445,-11.685632,135.89723,9.776397,7.772247,-61.114582,17.384418,-25.314304,94.488396,1.9604747,2.3971694,-101.32585,2.1126578,-4.0196185,-49.287113,-24.048752,3.4098766
5491,2.023734,-1.1454676,-44.18203,159.45262,-5.4462543,-11.684616,135.89723,9.776397,7.772247,-61.098656,17.382504,-25.318197,94.4789,1.9606881,2.3970082,-101.334755,2.1122942,-4.0197673,-49.25781,-24.06394,3.408051
5500,2.034075,-1.1466799,-44.182198,159.46716,-5.444961,-11.68554,135.8887,9.779147,7.77793,-61.08534,17.384377,-25.316023,94.47926,1.9608753,2.3970342,-101.34453,2.1121862,-4.0200224,-49.22463,-24.07709,3.4067264
5513,2.0470464,-1.141417,-44.182247,159.4817,-5.443668,-11.686461,135.88773,9.785625,7.7752533,-61.07943,17.38248,-25.321783,94.46938,1.9609014,2.3968468,-101.34366,2.1119308,-4.019915,-49.195034,-24.086037,3.4022603
5524,2.0573869,-1.1426291,-44.182426,159.49423,-5.4487767,-11.685448,135.87946,9.785851,7.774518,-61.066563,17.378788,-25.316687,94.459885,1.9611148,2.3966858,-101.352554,2.1115677,-4.0200624,-49.15787,-24.102762,3.393339
5537,2.0679958,-1.1438144,-44.18523,159.50876,-5.4474826,-11.686371,135.87946,9.785851,7.774518,-61.063263,17.380682,-25.316381,94.45036,1.9561945,2.401278,-101.36233,2.1114593,-4.020318,-49.1243,-24.113121,3.398307
5549,2.0783377,-1.1450262,-44.185406,159.5233,-5.446189,-11.687294,135.88133,9.786581,7.7747283,-61.04403,17.380663,-25.319971,94.440865,1.9615415,2.3963628,-101.37122,2.1110957,-4.020466,-49.095287,-24.131088,3.3901222
5561,2.0886793,-1.1462381,-44.185585,159.53584,-5.451298,-11.686282,135.87306,9.786807,7.7739925,-61.0307,17.382536,-25.317797,94.440865,1.9615415,2.3963628,-101.37122,2.1110957,-4.020466,-49.061428,-24.135204,3.392461
5574,2.1016514,-1.1409746,-44.185627,159.55038,-5.450004,-11.687205,135.87306,9.786807,7.7739925,-61.024788,17.380644,-25.32356,94.43135,1.9617549,2.3962016,-101.38012,2.1107323,-4.0206137,-49.03202,-24.15039,3.3905766
5587,2.1119928,-1.1421863,-44.185802,159.56491,-5.448709,-11.688127,135.86482,9.787033,7.7732573,-61.011467,17.382513,-25.321384,94.421844,1.9619682,2.3960402,-101.38902,2.1103687,-4.020761,-48.99442,-24.16432,3.387928
5598,2.122334,-1.1433978,-44.185974,159.57762,-5.4526615,-11.680288,135.86482,9.787033,7.7732573,-60.998604,17.37882,-25.316294,94.41233,1.9621814,2.3958783,-101.398796,2.1102602,-4.0210166,-48.969723,-24.18149,3.3809803
5610,2.132675,-1.1446095,-44.186157,159.59216,-5.4513683,-11.681211,135.86382,9.793511,7.77058,-60.992676,17.37693,-25.322052,94.402466,1.9622072,2.3956912,-101.39791,2.1100056,-4.020909,-48.931717,-24.19264,3.3846316
5623,2.1433716,-1.146079,-44.179848,159.59943,-5.4507203,-11.681673,135.85744,9.794468,7.770054,-60.976048,17.380695,-25.319574,94.392944,1.9624205,2.3955295,-101.40769,2.109897,-4.021165,-48.89819,-24.199532,3.3806276
5636,2.1537135,-1.1472913,-44.180027,159.61195,-5.455831,-11.680666,135.85744,9.794468,7.770054,-60.960106,17.378782,-25.323463,94.3933,1.9626079,2.3955553,-101.41658,2.1095335,-4.021312,-48.868706,-24.214712,3.3787
