millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2
6943,96.81525,4.1633587,9.188614,7.71849,12.794834,7.192716,152.39124,-26.291372,-54.750114,138.10867,-4.197905,-58.75339,37.823574,-1.6820039,-3.1355643,179.3856,-9.034972,-0.57650447
6954,96.85915,4.3593984,9.264718,7.756038,12.952912,7.208122,153.89177,-24.81914,-54.378258,139.79079,-2.8032212,-60.821114,37.798687,-1.7009568,-3.0600066,179.36006,-9.048897,-0.5393556
6965,96.87077,4.440571,9.303913,7.7266393,13.063419,7.2479367,155.29387,-23.516975,-53.626034,141.54674,-1.4848654,-62.967125,37.81809,-1.7055339,-3.00285,179.36356,-9.027795,-0.49764332
6975,96.86993,4.424899,9.317935,7.723783,13.061587,7.2687025,156.36208,-22.517622,-52.30208,143.46567,-0.28586826,-65.2307,37.86254,-1.7000334,-2.9946206,179.38715,-8.992178,-0.4715745
6988,96.868385,4.371132,9.310312,7.7075233,12.996792,7.3050504,157.0453,-21.7596,-50.453976,145.80089,0.8743146,-67.676895,37.872513,-1.6884584,-3.0056593,179.40161,-8.936342,-0.4729773
6997,96.84529,4.2588277,9.30866,7.680709,12.951885,7.348294,157.55824,-21.079369,-48.29879,148.79584,2.03992,-70.281425,37.8446,-1.6692046,-3.0206134,179.38736,-8.866151,-0.47922516
7009,96.82236,4.151743,9.302344,7.6313148,12.957658,7.3925776,158.17157,-20.327795,-46.035946,152.529,3.2031002,-72.94524,37.784096,-1.6509197,-3.0129147,179.33727,-8.796132,-0.48978105
7019,96.79164,4.09926,9.303357,7.561164,13.07256,7.413806,159.23972,-19.423943,-43.761,156.98294,4.3764462,-75.53413,37.730694,-1.6394144,-2.963316,179.28828,-8.726052,-0.48644987
7030,96.73435,4.093799,9.300729,7.5157638,13.259805,7.3857703,160.68097,-18.380745,-41.469086,161.94781,5.505363,-77.86318,37.723316,-1.649264,-2.8925622,179.23215,-8.684422,-0.4824822
7039,96.71538,4.054529,9.233699,7.515266,13.309515,7.3820887,162.28723,-17.259869,-39.018154,167.80759,6.6588116,-79.7446,37.76659,-1.6779937,-2.7627738,179.19939,-8.621093,-0.45236593
7050,96.74625,4.0719967,9.141627,7.4903846,13.230136,7.4233894,163.84319,-16.139725,-36.379166,175.21765,7.685173,-80.99729,37.723278,-1.6703714,-2.744385,179.18973,-8.585924,-0.3957737
7078,97.18676,2.6632128,7.934962,7.3901253,12.461556,7.5223165,166.43126,-14.006647,-30.69804,-155.12956,10.363123,-78.69217,37.661083,-1.5952157,-2.924457,179.17627,-8.432068,-0.49398068
7089,97.29056,2.6610208,7.9427705,7.4055624,12.368161,7.5389943,167.41936,-12.871925,-27.487886,-147.17438,11.36303,-76.554665,37.642963,-1.5776556,-2.9550247,179.12915,-8.30666,-0.5685777
7118,97.585434,2.627365,8.157091,7.1920004,13.050301,7.7447405,-177.77151,-8.483481,32.03888,-126.606705,14.511429,-66.704346,37.362724,-1.6220274,-2.6459472,178.87134,-8.033754,-0.4403961
7128,97.75223,2.6018865,8.219641,7.164284,13.157667,7.826815,-178.93105,-7.881012,28.316238,-122.185844,15.322301,-63.20962,37.340652,-1.6476204,-2.484152,178.82079,-8.047093,-0.35260665
7139,98.01264,2.5561364,8.268717,7.180494,13.310645,7.8244734,178.48792,-6.485682,23.4894,-118.5633,16.02799,-59.880825,37.3955,-1.6464086,-2.507116,178.8512,-8.08856,-0.31926277
7150,98.22292,2.4556136,8.282456,7.1480722,13.238927,7.70972,175.50432,-5.7278924,18.964731,-115.73961,16.708942,-56.832363,37.525875,-1.6089809,-2.7190483,178.97908,-8.264236,-0.39686316
7160,98.37432,2.2677972,8.263899,7.2603416,12.924879,7.531857,171.84421,-5.0433903,15.074119,-113.65605,17.22152,-54.222862,37.69722,-1.5329041,-3.103717,179.11946,-8.3208685,-0.6028373
7205,98.86528,0.43938616,7.8566737,7.6764116,11.848219,7.206753,161.55269,-4.797798,14.240287,-110.45513,9.907891,-37.328293,37.624767,-1.4816589,-3.1290085,179.25746,-8.231036,-0.9569459
7245,99.64476,-4.1684685,7.160384,7.848262,12.168425,7.4463496,163.05762,-11.861405,20.811779,-113.14153,2.3406494,-32.706074,37.83334,-1.5266258,-3.1564999,179.62138,-9.329042,-1.5695281
7255,99.92979,-6.254254,6.8540273,7.92152,12.102709,7.272539,163.28543,-13.551978,22.308954,-114.04543,0.4389184,-30.771053,37.88385,-1.4442035,-3.4995322,179.66953,-9.377726,-1.5803835
7266,100.190414,-8.44481,6.536411,8.037054,11.939538,7.067925,163.54974,-15.235418,24.194546,-115.09971,-1.4441115,-28.461683,37.950706,-1.4309194,-3.7038665,179.72417,-9.50298,-1.5846153
