millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2
4615,-5.4983478,-25.773563,0.40840256,116.0397,-42.875923,12.316916,-58.34863,5.2142844,0.6175962,-135.72118,9.468938,-2.7151034,120.567986,2.5429327,-1.3857385,-8.961456,1.0428315,-3.4990783,166.2086,-43.68167,-15.221923,106.13302,17.723528,-17.113153
4629,-5.505921,-25.780275,0.41024938,116.05712,-42.87842,12.311019,-58.35184,5.214163,0.6173,-135.7055,9.462348,-2.7165394,120.55892,2.5427825,-1.3858314,-8.968342,1.0426136,-3.499125,166.26259,-43.69489,-15.23268,106.13652,17.713934,-17.115171
4644,-5.5076833,-25.7874,0.40372708,116.067024,-42.88987,12.301549,-58.36366,5.2143383,0.61688167,-135.69078,9.462826,-2.7152812,120.55162,2.5427248,-1.3860748,-8.968342,1.0426136,-3.499125,166.31152,-43.710125,-15.234364,106.14525,17.715242,-17.113352
4657,-5.518094,-25.795988,0.39885518,116.07835,-42.897743,12.29806,-58.36685,5.214216,0.61658555,-135.67606,9.463305,-2.7140229,120.542564,2.5425742,-1.3861675,-8.976858,1.0424423,-3.4993894,166.35675,-43.722107,-15.24178,106.15518,17.716745,-17.11301
4672,-5.525669,-25.8027,0.4007045,116.09734,-42.901947,12.293875,-58.378677,5.21439,0.6161672,-135.66133,9.463784,-2.7127643,120.544014,2.5487378,-1.3897804,-8.983744,1.0422243,-3.4994361,166.40884,-43.730976,-15.244422,106.154434,17.712294,-17.117264
4687,-5.534911,-25.802914,0.3954521,116.11474,-42.90444,12.287975,-58.38187,5.214268,0.6158711,-135.6466,9.464263,-2.7115061,120.53486,2.5520563,-1.3837993,-8.99063,1.0420063,-3.4994829,166.45447,-43.74545,-15.252466,106.16437,17.713799,-17.116924
4701,-5.542437,-25.80282,0.39701134,116.1241,-42.901276,12.2901535,-58.381687,5.217668,0.6219711,-135.63188,9.46474,-2.7102473,120.5258,2.5519056,-1.3838928,-8.997661,1.0423433,-3.4925606,166.50327,-43.75815,-15.253585,106.173546,17.710852,-17.120834
4713,-5.540673,-25.795696,0.40353155,116.14905,-42.894825,12.287831,-58.393505,5.2178426,0.62155265,-135.6168,9.467803,-2.7154384,120.51849,2.5518482,-1.3841369,-8.997516,1.0417883,-3.4995296,166.55746,-43.77129,-15.264412,106.18347,17.712357,-17.120493
4728,-5.548151,-25.78879,0.40479866,116.1584,-42.891655,12.29001,-58.39671,5.2177205,0.6212562,-135.59192,9.467624,-2.7136464,120.51849,2.5518482,-1.3841369,-9.0044,1.0415704,-3.4995763,166.60663,-43.786484,-15.266165,106.18228,17.71216,-17.119017
4742,-5.5544987,-25.78032,0.40597266,116.18176,-42.883503,12.285981,-58.408516,5.217895,0.6208376,-135.5772,9.468101,-2.712387,120.51089,2.5578606,-1.3878448,-9.011285,1.0413524,-3.499623,166.6558,-43.801674,-15.267926,106.1957,17.70407,-17.120697
4757,-5.5619745,-25.773413,0.40723804,116.18968,-42.883896,12.282178,-58.411713,5.2177734,0.62054116,-135.56245,9.468577,-2.7111275,120.501816,2.5577097,-1.3879384,-9.01817,1.0411346,-3.4996698,166.70131,-43.81359,-15.275417,106.20443,17.70538,-17.118876
4771,-5.5619745,-25.773413,0.40723804,116.21011,-42.88453,12.283974,-58.42353,5.2179484,0.62012255,-135.54865,9.462585,-2.7125082,120.49452,2.557652,-1.388183,-9.025055,1.0409167,-3.4997163,166.75914,-43.827446,-15.279968,106.20489,17.701124,-17.124613
4785,-5.5712605,-25.780441,0.4022766,116.227516,-42.88702,12.278079,-58.423347,5.221351,0.6262214,-135.53392,9.463062,-2.7112494,120.48544,2.5575008,-1.3882765,-9.032083,1.0412557,-3.4927945,166.80498,-43.841846,-15.288095,106.21361,17.702433,-17.122791
4799,-5.5799675,-25.788715,0.40422022,116.24493,-42.88951,12.272178,-58.43516,5.221525,0.62580264,-135.51918,9.463539,-2.7099905,120.48721,2.557594,-1.3884275,-9.032083,1.0412557,-3.4927945,166.85713,-43.848152,-15.290208,106.22399,17.699684,-17.128185
4812,-5.589257,-25.795742,0.39926082,116.25625,-42.897377,12.268681,-58.438354,5.221404,0.62550586,-135.50258,9.463418,-2.7087965,120.47814,2.5574431,-1.388521,-9.038967,1.041038,-3.4928408,166.90306,-43.862534,-15.298357,106.22584,17.694145,-17.123001
4827,-5.5968313,-25.802452,0.4011138,116.27367,-42.89986,12.26278,-58.450176,5.2215786,0.6250871,-135.48784,9.463893,-2.707537,120.47084,2.5573854,-1.3887656,-9.045852,1.0408206,-3.4928873,166.95248,-43.87768,-15.300187,106.23576,17.69565,-17.122658
4840,-5.5968313,-25.802452,0.4011138,116.29107,-42.902348,12.256881,-58.453365,5.2214575,0.6247904,-135.47275,9.466962,-2.7127247,120.461464,2.5633025,-1.3923254,-9.052735,1.0406029,-3.4929338,167.00127,-43.88319,-15.308648,106.24495,17.692707,-17.126574
4855,-5.606071,-25.802673,0.39586166,116.30057,-42.90444,12.254785,-58.45327,5.2153563,0.62820005,-135.45802,9.467439,-2.711465,120.45239,2.5631511,-1.392419,-9.059617,1.0403855,-3.4929805,167.05934,-43.897,-15.313271,106.25367,17.694016,-17.124756
4868,-5.613595,-25.802574,0.39742076,116.31785,-42.90165,12.253164,-58.46518,5.221632,0.6243715,-135.4442,9.461449,-2.7128513,120.454155,2.5632446,-1.3925704,-9.06815,1.0402142,-3.4932444,167.10887,-43.912132,-15.315137,106.25367,17.694016,-17.124756
4883,-5.6193547,-25.795351,0.4054955,116.34277,-42.8952,12.250853,-58.468273,5.2154098,0.6274853,-135.42947,9.461922,-2.7115917,120.44508,2.5630932,-1.3926642,-9.075033,1.0399966,-3.4932911,167.15776,-43.917614,-15.323621,106.262405,17.69532,-17.122938
4897,-5.619305,-25.788542,0.4052,116.35215,-42.89203,12.253037,-58.480083,5.215584,0.6270669,-135.40453,9.4617405,-2.7098017,120.43777,2.563035,-1.3929092,-9.081916,1.0397791,-3.4933379,167.20738,-43.932724,-15.325506,106.27232,17.696825,-17.122595
4911,-5.62678,-25.781631,0.40646234,116.377075,-42.885567,12.250729,-58.483276,5.2154627,0.62677056,-135.38943,9.464813,-2.7149868,120.42831,2.5724251,-1.3903998,-9.088595,1.0465294,-3.4939368,167.25354,-43.94704,-15.33373,106.2815,17.693884,-17.12651
4925,-5.634304,-25.78153,0.40802023,116.38498,-42.885952,12.246924,-58.491707,5.219165,0.6327457,-135.3747,9.465289,-2.7137272,120.421005,2.5723677,-1.3906457,-9.088595,1.0465294,-3.4939368,167.30301,-43.959637,-15.335014,106.2815,17.693884,-17.12651
4938,-5.643591,-25.788565,0.40306327,116.40384,-42.884872,12.247016,-58.4949,5.2190433,0.632449,-135.35994,9.465764,-2.7124674,120.421005,2.5723677,-1.3906457,-9.095478,1.0463117,-3.4939835,167.36436,-43.967052,-15.340605,106.29372,17.685596,-17.12672
4952,-5.6511145,-25.788467,0.40462154,116.41518,-42.89273,12.243514,-58.506706,5.2192187,0.6320304,-135.3452,9.466239,-2.7112072,120.41369,2.57231,-1.3908914,-9.102361,1.0460942,-3.4940302,167.41061,-43.98133,-15.348865,106.30365,17.6871,-17.12638
4967,-5.654077,-25.803967,0.39849794,116.434166,-42.89692,12.239317,-58.5099,5.219097,0.63173366,-135.33044,9.466714,-2.709947,120.40462,2.572158,-1.3909857,-9.109242,1.0458764,-3.4940772,167.46323,-43.98757,-15.351067,106.302444,17.686903,-17.124905
4981,-5.661602,-25.803865,0.4000571,116.45156,-42.89939,12.233417,-58.52171,5.219272,0.63131505,-135.31535,9.46979,-2.7151299,120.39731,2.5721006,-1.3912315,-9.116125,1.0456587,-3.494124,167.51308,-44.002655,-15.353021,106.31237,17.688408,-17.124563
4995,-5.669177,-25.810575,0.40191442,116.46897,-42.90186,12.227515,-58.52171,5.219272,0.63131505,-135.29872,9.4696665,-2.713935,120.38824,2.5719485,-1.3913255,-9.123008,1.0454412,-3.4941707,167.55948,-44.016903,-15.36131,106.32155,17.685467,-17.128479
5009,-5.6784167,-25.8108,0.39666283,116.476875,-42.902233,12.223714,-58.524895,5.219151,0.6310184,-135.2849,9.463678,-2.7153292,120.38092,2.5718906,-1.3915713,-9.129889,1.0452232,-3.4942176,167.61781,-44.02811,-15.365427,106.33026,17.686773,-17.126661
5023,-5.6783657,-25.80399,0.39636415,116.49574,-42.901154,12.223801,-58.53671,5.2193255,0.6305998,-135.27014,9.464152,-2.7140694,120.38092,2.5718906,-1.3915713,-9.13677,1.0450057,-3.494264,167.67078,-44.03684,-15.368298,106.33026,17.686773,-17.126661
5037,-5.6841245,-25.79676,0.40443563,116.520676,-42.894684,12.2214985,-58.53989,5.2192044,0.6303031,-135.25537,9.464626,-2.712809,120.3733,2.5778985,-1.3952883,-9.13677,1.0450057,-3.494264,167.71727,-44.05106,-15.376623,106.33945,17.683832,-17.13058
5051,-5.690441,-25.788294,0.40560108,116.53003,-42.891514,12.22369,-58.551697,5.219379,0.62988436,-135.24028,9.467708,-2.71799,120.36423,2.5777464,-1.3953825,-9.143652,1.044788,-3.494311,167.7701,-44.057266,-15.378872,106.34937,17.685335,-17.130236
5065,-5.697963,-25.788197,0.40715924,116.55498,-42.885044,12.22139,-58.551697,5.219379,0.62988436,-135.22552,9.468181,-2.716729,120.355156,2.5775943,-1.3954768,-9.152197,1.0446166,-3.4945748,167.82529,-44.070107,-15.389996,106.36112,17.681295,-17.124718
5079,-5.707199,-25.788418,0.40190622,116.57237,-42.887505,12.21549,-58.563515,5.219554,0.62946564,-135.2089,9.468059,-2.7155347,120.34784,2.577536,-1.3957231,-9.159078,1.0443989,-3.4946215,167.87543,-44.085136,-15.392027,106.36158,17.67705,-17.130455
5095,-5.7083592,-25.789972,0.40200016,116.57567,-42.88972,12.220072,-58.5667,5.219432,0.62916905,-135.19412,9.468532,-2.714274,120.34784,2.577536,-1.3957231,-9.165958,1.0441812,-3.494668,167.92561,-44.100163,-15.39407,106.37031,17.678358,-17.128635
5108,-5.7176466,-25.797009,0.39704788,116.59308,-42.89219,12.21417,-58.578506,5.2196074,0.62875026,-135.17937,9.469005,-2.7130127,120.34052,2.5774782,-1.3959695,-9.172693,1.0433978,-3.501683,167.97212,-44.111824,-15.401808,106.380226,17.679861,-17.128294
5122,-5.725221,-25.80372,0.39890778,116.6044,-42.900036,12.210656,-58.581688,5.219485,0.62845373,-135.15593,9.472027,-2.7175937,120.33146,2.577326,-1.3960638,-9.179575,1.0431798,-3.5017292,168.02531,-44.12051,-15.404744,106.37902,17.679665,-17.126818
5136,-5.732795,-25.81043,0.40076846,116.62338,-42.90421,12.206455,-58.593502,5.2196603,0.62803495,-135.14116,9.4725,-2.716332,120.324135,2.577268,-1.39631,-9.179722,1.0437456,-3.4947612,168.08429,-44.13415,-15.409598,106.38895,17.68117,-17.126474
