millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2
2439,6.529107,-14.121486,41.48217,105.71821,-18.754656,6.0133324,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2449,104.29738,-50.97277,6.024446,105.71821,-18.754656,6.0133324,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2458,164.44112,-6.579654,-55.165443,105.71789,-18.758839,6.007711,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01682,7.774117,4.667129
2467,-174.43362,-16.995016,-72.75403,105.71555,-18.764315,6.0116954,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01682,7.774117,4.667129
2477,176.52658,-21.389566,-36.0278,105.71555,-18.764315,6.0116954,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01682,7.774117,4.667129
2491,-4.2681,-9.535877,19.259405,105.71555,-18.764315,6.0116954,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2499,-14.147963,-35.358067,-3.2642386,105.71555,-18.764315,6.0116954,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2508,-4.3111963,-9.607089,20.553144,105.71789,-18.758839,6.007711,-10.538456,2.1342113,11.853279,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2519,-3.1075644,-7.922678,34.469566,105.71789,-18.758839,6.007711,-10.538456,2.1342113,11.853279,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2528,-3.103657,-7.9782066,37.81913,105.71789,-18.758839,6.007711,-10.538456,2.1342113,11.853279,112.67574,15.098981,-20.362442,132.01604,7.7805057,4.6642666
2539,-12.307015,3.8165152,50.763535,105.71789,-18.758839,6.007711,-10.538456,2.1342113,11.853279,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2549,2.7704,2.552084,-64.760704,105.71789,-18.758839,6.007711,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2559,2.127186,4.7726727,-78.51655,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2568,2.1072009,4.6932645,-78.94693,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01682,7.774117,4.667129
2578,6.725754,11.202477,-69.399124,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01682,7.774117,4.667129
2589,3.5019283,1.8695502,-61.576122,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01682,7.774117,4.667129
2599,9.945167,15.082611,-64.54142,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2608,4.8454638,10.51062,-77.50792,105.72744,-18.759827,6.006994,-10.538456,2.1342113,11.853279,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2618,-4.274302,1.7790729,77.130196,105.72744,-18.759827,6.006994,-10.538456,2.1342113,11.853279,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2628,3.0902212,-0.6395513,79.83372,105.72744,-18.759827,6.006994,-10.538456,2.1342113,11.853279,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2638,2.5326324,21.12842,46.62907,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2649,0.6086601,-3.9289913,55.90881,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2658,5.918472,-9.457311,79.04868,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2671,4.5035577,-8.299526,80.362785,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01604,7.7805057,4.6642666
2680,3.6970298,-7.6603446,81.78766,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01682,7.774117,4.667129
2689,3.6323373,-6.9454546,81.594086,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2699,1.5931113,3.0104349,-86.97147,105.72744,-18.759827,6.006994,-10.537736,2.1272826,11.853947,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2710,-3.8515475,6.4120502,76.42342,105.72744,-18.759827,6.006994,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2717,-6.798064,13.35443,64.559685,105.72744,-18.759827,6.006994,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2731,-1.591997,-0.5409397,69.617294,105.72744,-18.759827,6.006994,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2738,10.167832,18.86022,-70.903915,105.72744,-18.759827,6.006994,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2749,3.2478106,2.3632994,73.98979,105.72744,-18.759827,6.006994,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01625,7.7777147,4.6579094
2759,5.6661057,-11.032558,76.53322,105.7251,-18.765303,6.0109787,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2768,1.8587153,-0.3250184,78.69224,105.7251,-18.765303,6.0109787,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2778,-3.4298046,6.5608068,78.61107,105.7251,-18.765303,6.0109787,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.01701,7.771325,4.6607714
2788,4.738711,3.8076243,69.97261,105.7251,-18.765303,6.0109787,-10.537532,2.1278949,11.860869,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2799,7.9186983,-14.337663,75.2764,105.7251,-18.765303,6.0109787,-10.537532,2.1278949,11.860869,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2810,6.31191,-12.060135,77.7727,105.72744,-18.759827,6.006994,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2817,-3.1724503,7.521782,76.11674,105.72744,-18.759827,6.006994,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2828,-0.2070172,2.686728,51.937477,105.7251,-18.765303,6.0109787,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2838,-3.7038815,-2.9686127,50.317837,105.7251,-18.765303,6.0109787,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2848,-12.009778,13.361503,54.970127,105.7251,-18.765303,6.0109787,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2860,-15.826447,22.946108,43.07734,105.7251,-18.765303,6.0109787,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2868,-10.916525,-10.198259,11.207879,105.72478,-18.769485,6.0053573,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2878,-8.159688,7.488858,33.182987,105.7251,-18.765303,6.0109787,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2889,-5.997516,7.318585,51.21181,105.72478,-18.769485,6.0053573,-10.538045,2.135436,11.867126,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2899,-5.286673,4.1366024,68.37274,105.72478,-18.769485,6.0053573,-10.538045,2.135436,11.867126,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2910,-0.2472153,2.1436968,57.065773,105.72478,-18.769485,6.0053573,-10.538045,2.135436,11.867126,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2920,-2.9006507,-2.317408,52.895187,105.72478,-18.769485,6.0053573,-10.538045,2.135436,11.867126,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
2928,7.880731,-11.53615,50.096455,105.722755,-18.770779,6.0149627,-10.537327,2.1285074,11.867793,112.679115,15.089465,-20.364927,132.01701,7.771325,4.6607714
