millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2,K0,K1,K2
48679,-165.17273,-74.08166,-3.7694328,130.55869,-51.753876,4.227072,53.9146,-16.5617,10.883326,151.1126,-70.830635,1.5887913,5.922092,24.29957,-7.932502,-150.24374,-9.436408,0.78636855,-101.96853,1.4984992,-2.5483627,-13.711722,6.440929,4.340408,-64.81243,-7.2830577,32.159203,126.26003,0.73625475,10.25644,81.3851,-8.67808,-18.939516
48699,-165.15762,-74.08299,-3.763867,130.55869,-51.753876,4.227072,53.913246,-16.564634,10.889377,151.1126,-70.830635,1.5887913,5.9245653,24.314686,-7.932046,-150.24304,-9.443152,0.78459275,-101.97829,1.4984359,-2.5485315,-13.71142,6.4339943,4.341254,-64.81298,-7.2663984,32.157482,126.26003,0.73625475,10.25644,81.57868,-9.737427,-19.930576
48720,-165.17941,-74.07222,-3.7690482,130.55869,-51.753876,4.227072,53.912624,-16.558403,10.892663,151.10248,-70.84025,1.5896724,5.9245653,24.314686,-7.932046,-150.24304,-9.443152,0.78459275,-101.968544,1.5039328,-2.5439565,-13.711926,6.4417157,4.3473344,-64.805626,-7.2586203,32.168987,126.253105,0.74332005,10.25347,81.25933,-10.953688,-20.742302
48740,-165.17941,-74.07222,-3.7690482,130.55453,-51.757435,4.234844,53.912624,-16.558403,10.892663,151.11226,-70.839355,1.5953524,5.9245653,24.314686,-7.932046,-150.24184,-9.451656,0.78955704,-101.96857,1.5137662,-2.5449786,-13.71213,6.4425025,4.35426,-64.80633,-7.253161,32.16555,126.25326,0.746486,10.259667,80.812874,-12.401018,-21.534246
48761,-165.18727,-74.06682,-3.7689939,130.5428,-51.762356,4.246595,53.913357,-16.54924,10.889898,151.1072,-70.82899,1.5985048,5.925155,24.321503,-7.9316187,-150.24065,-9.460162,0.7945213,-101.97831,1.5137036,-2.5451486,-13.711624,6.4347825,4.348181,-64.80334,-7.243812,32.167862,126.25331,0.7526907,10.256486,80.21477,-13.558287,-22.025763
48782,-165.18727,-74.06682,-3.7689939,130.53337,-51.770493,4.2422867,53.912735,-16.543007,10.893184,151.09743,-70.82988,1.5928245,5.9245653,24.314686,-7.932046,-150.23682,-9.490658,0.8008975,-101.97831,1.5137036,-2.5451486,-13.711624,6.4347825,4.348181,-64.800354,-7.2344627,32.170174,126.25356,0.768266,10.25632,80.03163,-14.58767,-22.306105
48803,-165.17941,-74.07222,-3.7690482,130.5283,-51.779087,4.2451377,53.91149,-16.530544,10.8997555,151.09573,-70.8346,1.59895,5.9245653,24.314686,-7.932046,-150.23645,-9.506478,0.80398536,-101.9783,1.5093037,-2.5397196,-13.711624,6.4347825,4.348181,-64.81282,-7.2485204,32.17321,126.25361,0.77447075,10.2531395,80.31573,-15.294128,-22.422054
48825,-165.16432,-74.07356,-3.7634828,130.53761,-51.78047,4.2422767,53.90475,-16.526411,10.893596,151.09709,-70.8386,1.5993862,5.922092,24.29957,-7.932502,-150.22612,-9.528372,0.8048226,-101.97831,1.5137036,-2.5451486,-13.711624,6.4347825,4.348181,-64.81266,-7.237321,32.174915,126.253654,0.7806756,10.249958,80.39921,-16.32081,-22.257475
48844,-165.1425,-74.084335,-3.758302,130.53325,-51.78002,4.2351174,53.90413,-16.52018,10.896881,151.09709,-70.8386,1.5993862,5.922374,24.28593,-7.940164,-150.2254,-9.535115,0.8030463,-101.97833,1.5191374,-2.5407422,-13.711926,6.4417157,4.3473344,-64.80967,-7.227973,32.177227,126.24473,0.7750058,10.252811,77.37448,-18.81898,-20.078596
48866,-165.14835,-74.100464,-3.7545178,130.5467,-51.777843,4.2244844,53.90413,-16.52018,10.896881,151.08563,-70.844215,1.5998313,5.9203224,24.279114,-7.9337873,-150.2254,-9.535115,0.8030463,-101.978355,1.5289711,-2.5417645,-13.71213,6.4425025,4.35426,-64.80669,-7.2186246,32.17954,126.24469,0.76880145,10.255993,76.728615,-19.721256,-18.056229
